Date,Open,High,Low,Close
12/2/2005,5.392,5.435,5.33,5.362
12/9/2005,5.36,5.52,5.36,5.384
12/16/2005,5.385,5.48,5.278,5.285
12/23/2005,5.245,5.335,5.22,5.23
12/30/2005,5.23,5.243,5.165,5.2
1/6/2006,5.21,5.25,5.165,5.175
1/13/2006,5.175,5.245,5.16,5.165
1/20/2006,5.165,5.18,5.11,5.18
1/27/2006,5.142,5.365,5.134,5.36
2/3/2006,5.31,5.408,5.285,5.365
2/10/2006,5.343,5.345,5.23,5.24
2/17/2006,5.265,5.3,5.23,5.23
2/24/2006,5.23,5.244,5.115,5.214
3/3/2006,5.214,5.333,5.214,5.315
3/10/2006,5.315,5.405,5.315,5.38
3/17/2006,5.38,5.45,5.27,5.27
3/24/2006,5.27,5.365,5.23,5.35
3/31/2006,5.29,5.435,5.269,5.415
4/7/2006,5.418,5.56,5.402,5.54
4/14/2006,5.54,5.645,5.54,5.625
4/21/2006,5.63,5.685,5.576,5.655
4/28/2006,5.655,5.768,5.61,5.7
5/5/2006,5.7,5.826,5.69,5.79
5/12/2006,5.79,5.854,5.735,5.823
5/19/2006,5.823,5.879,5.732,5.738
5/26/2006,5.753,5.764,5.655,5.735
6/2/2006,5.728,5.785,5.727,5.741
6/9/2006,5.741,5.741,5.593,5.659
6/16/2006,5.667,5.755,5.603,5.734
6/23/2006,5.765,5.856,5.76,5.835
6/30/2006,5.835,5.882,5.768,5.78
7/7/2006,5.78,5.878,5.723,5.847
7/14/2006,5.847,5.875,5.743,5.835
7/21/2006,5.84,5.899,5.778,5.783
7/28/2006,5.783,5.933,5.745,5.899
8/4/2006,5.899,5.899,5.788,5.819
8/11/2006,5.819,5.858,5.74,5.853
8/18/2006,5.853,5.943,5.75,5.767
8/25/2006,5.765,5.765,5.648,5.654
9/1/2006,5.64,5.693,5.538,5.623
9/8/2006,5.613,5.696,5.568,5.642
9/15/2006,5.642,5.69,5.578,5.673
9/22/2006,5.685,5.725,5.485,5.536
9/29/2006,5.493,5.518,5.398,5.506
10/6/2006,5.519,5.528,5.408,5.499
10/13/2006,5.573,5.743,5.573,5.704
10/20/2006,5.725,5.813,5.689,5.746
10/27/2006,5.746,5.823,5.68,5.684
11/3/2006,5.684,5.684,5.51,5.622
11/10/2006,5.622,5.745,5.503,5.617
11/17/2006,5.617,5.63,5.46,5.624
11/24/2006,5.563,5.59,5.54,5.563
12/1/2006,5.54,5.599,5.513,5.538
12/8/2006,5.519,5.614,5.476,5.598
12/15/2006,5.598,5.778,5.598,5.758
12/22/2006,5.758,5.837,5.758,5.803
12/29/2006,5.826,5.933,5.825,5.882
1/5/2007,5.886,5.943,5.788,5.806
1/12/2007,5.805,5.948,5.805,5.898
1/19/2007,5.9,5.938,5.855,5.888
1/26/2007,5.903,5.944,5.798,5.836
2/2/2007,5.836,5.955,5.836,5.948
2/9/2007,5.948,5.948,5.758,5.767
2/16/2007,5.768,5.85,5.767,5.781
2/23/2007,5.763,5.853,5.759,5.846
3/2/2007,5.81,5.81,5.638,5.673
3/9/2007,5.643,5.677,5.601,5.666
3/16/2007,5.753,5.794,5.611,5.768
3/23/2007,5.754,5.85,5.734,5.834
3/30/2007,5.918,5.918,5.814,5.88
4/6/2007,5.897,5.911,5.851,5.89
4/13/2007,5.891,5.951,5.889,5.947
4/20/2007,5.985,5.985,5.912,5.962
4/27/2007,5.977,5.977,5.843,5.897
5/4/2007,5.883,5.903,5.809,5.852
5/11/2007,5.838,5.937,5.831,5.877
5/18/2007,5.892,5.961,5.871,5.945
5/25/2007,5.972,6.01,5.942,5.97
6/1/2007,6.002,6.049,5.984,6.04
6/8/2007,6.078,6.266,6.063,6.257
6/15/2007,6.218,6.318,6.21,6.271
6/22/2007,6.234,6.293,6.201,6.263
6/29/2007,6.258,6.294,6.193,6.256
7/6/2007,6.193,6.259,6.137,6.237
7/13/2007,6.291,6.303,6.157,6.232
7/20/2007,6.205,6.211,6.137,6.145
7/27/2007,6.117,6.161,5.966,5.967
8/3/2007,5.959,6.036,5.914,5.95
8/10/2007,5.89,6.095,5.883,5.921
8/17/2007,5.99,6.011,5.798,5.798
8/24/2007,5.86,5.948,5.831,5.947
8/31/2007,5.951,6.001,5.833,5.918
9/7/2007,5.902,6.013,5.892,5.943
9/14/2007,5.839,5.986,5.778,5.913
9/21/2007,5.892,6.192,5.865,6.139
9/28/2007,6.111,6.21,6.111,6.145
10/5/2007,6.176,6.22,6.131,6.131
10/12/2007,6.213,6.28,6.208,6.228
10/19/2007,6.287,6.305,6.1,6.111
10/26/2007,6.063,6.175,6.007,6.037
11/2/2007,6.083,6.27,6.05,6.16
11/9/2007,6.173,6.217,5.933,5.976
11/16/2007,5.966,6.133,5.906,6.012
11/23/2007,6.055,6.063,5.824,5.845
11/30/2007,5.858,6,5.77,5.997
12/7/2007,5.97,6.053,5.923,6.047
12/14/2007,6.105,6.315,6.087,6.266
12/21/2007,6.266,6.318,6.215,6.251
12/28/2007,6.328,6.42,6.318,6.385
1/4/2008,6.365,6.4,6.1,6.107
1/11/2008,6.027,6.192,6.027,6.128
1/18/2008,6.078,6.102,5.94,6.043
1/25/2008,6.025,6.195,5.857,6.191
2/1/2008,6.191,6.191,6.024,6.126
2/8/2008,6.185,6.232,6.06,6.191
2/15/2008,6.182,6.347,6.145,6.328
2/22/2008,6.323,6.513,6.273,6.373
2/29/2008,6.403,6.477,6.197,6.213
3/7/2008,6.156,6.254,6.029,6.104
3/14/2008,6.008,6.26,6,6.02
3/21/2008,5.995,6.123,5.818,5.984
3/28/2008,5.97,6.173,5.97,6.155
4/4/2008,6.09,6.22,5.977,6.178
4/11/2008,6.03,6.24,6,6.142
4/18/2008,6.08,6.262,5.982,6.21
4/25/2008,6.228,6.339,6.203,6.339
5/2/2008,6.378,6.378,6.153,6.233
5/9/2008,6.3,6.415,6.156,6.205
5/16/2008,6.205,6.351,6.163,6.322
5/23/2008,6.311,6.523,6.26,6.513
5/30/2008,6.442,6.64,6.433,6.53
6/6/2008,6.597,6.643,6.438,6.637
6/13/2008,6.595,6.735,6.58,6.729
6/20/2008,6.704,6.813,6.518,6.662
6/27/2008,6.61,6.625,6.404,6.461
7/4/2008,6.416,6.605,6.415,6.423
