Date,Open,High,Low,Close
2006-04-07,2.826,2.875,2.826,2.875
2006-04-14,2.861,2.865,2.86,2.86
2006-04-21,2.88,2.96,2.88,2.96
2006-04-28,2.914,2.979,2.914,2.971
2006-05-12,2.984,2.995,2.965,2.995
2006-05-19,2.977,2.989,2.977,2.989
2006-05-26,2.972,2.972,2.95,2.96
2006-06-02,2.987,2.987,2.982,2.982
2006-06-09,2.984,2.988,2.981,2.988
2006-06-16,3.016,3.051,3.016,3.051
2006-06-23,3.106,3.106,3.084,3.1
2006-06-30,3.124,3.14,3.124,3.14
2006-07-07,3.148,3.164,3.148,3.164
2006-07-14,3.163,3.181,3.148,3.181
2006-07-21,3.169,3.193,3.154,3.154
2006-07-28,3.214,3.279,3.214,3.279
2006-08-04,3.288,3.288,3.262,3.283
2006-08-11,3.262,3.262,3.232,3.238
2006-08-18,3.221,3.221,3.202,3.203
2006-08-25,3.219,3.225,3.197,3.197
2006-09-01,3.199,3.21,3.193,3.193
2006-09-08,3.198,3.198,3.19,3.19
2006-09-15,3.189,3.189,3.181,3.181
2006-09-22,3.177,3.177,3.15,3.15
2006-09-29,3.113,3.113,3.036,3.036
2006-10-13,3.036,3.039,2.983,3
2006-10-20,2.995,3.003,2.953,2.953
2006-10-27,2.965,2.983,2.899,2.899
2006-11-03,2.95,2.962,2.945,2.959
2006-11-10,2.966,2.966,2.955,2.96
2006-11-17,2.974,2.986,2.974,2.975
2006-11-24,2.977,3.042,2.977,3.042
2006-12-01,3.042,3.042,3.012,3.021
2006-12-08,3.009,3.028,3.009,3.028
2006-12-15,3.046,3.046,3.035,3.035
2006-12-22,3.041,3.045,3.034,3.038
2006-12-29,3.045,3.058,3.04,3.058
2007-01-05,3.036,3.038,3.036,3.038
2007-01-12,3.055,3.055,3.023,3.025
2007-01-19,3.028,3.038,3.024,3.029
2007-01-26,3.041,3.046,3.034,3.041
2007-02-02,3.042,3.057,3.037,3.051
2007-02-09,3.058,3.058,3.047,3.054
2007-02-16,3.08,3.11,3.08,3.11
2007-03-02,3.11,3.13,3.1,3.13
2007-03-09,3.12,3.17,3.12,3.17
2007-03-16,3.17,3.18,3.17,3.17
2007-03-23,3.25,3.36,3.25,3.35
2007-03-30,3.35,3.4,3.35,3.37
2007-04-06,3.46,3.46,3.45,3.46
2007-04-13,3.47,3.49,3.47,3.49
2007-04-20,3.48,3.58,3.48,3.58
2007-04-27,3.56,3.62,3.56,3.62
2007-05-04,3.64,3.64,3.64,3.64
2007-05-11,3.64,3.66,3.63,3.66
2007-05-18,3.65,3.74,3.65,3.74
2007-05-25,3.83,4.01,3.83,4.01
2007-06-01,3.97,4.03,3.92,3.92
2007-06-08,4,4.05,4,4.05
2007-06-15,4.1,4.27,4.1,4.27
2007-06-22,4.35,4.41,4.21,4.41
2007-06-29,4.43,4.44,4.43,4.43
2007-07-06,4.46,4.49,4.46,4.49
2007-07-13,4.5,4.53,4.5,4.5
2007-07-20,4.51,4.51,4.49,4.49
2007-07-27,4.49,4.49,4.44,4.44
2007-08-03,4.43,4.43,4.34,4.34
