Date,Open,High,Low,Close
2005-12-02,1.45,1.525,1.44,1.515
2005-12-09,1.53,1.58,1.515,1.564
2005-12-16,1.565,1.61,1.515,1.535
2005-12-23,1.54,1.573,1.52,1.555
2005-12-30,1.56,1.56,1.48,1.48
2006-01-06,1.48,1.48,1.43,1.45
2006-01-13,1.45,1.475,1.415,1.459
2006-01-20,1.455,1.49,1.41,1.48
2006-01-27,1.48,1.565,1.445,1.55
2006-02-03,1.57,1.605,1.555,1.59
2006-02-10,1.59,1.613,1.555,1.605
2006-02-17,1.605,1.61,1.52,1.52
2006-02-24,1.525,1.61,1.503,1.595
2006-03-03,1.605,1.679,1.57,1.63
2006-03-10,1.635,1.67,1.6,1.66
2006-03-17,1.665,1.75,1.665,1.724
2006-03-24,1.725,1.76,1.715,1.735
2006-03-31,1.73,1.829,1.682,1.78
2006-04-07,1.78,1.903,1.78,1.884
2006-04-14,1.896,1.995,1.869,1.974
2006-04-21,1.987,2.01,1.887,1.915
2006-04-28,1.905,1.989,1.888,1.93
2006-05-05,1.933,1.938,1.885,1.93
2006-05-12,1.94,2.015,1.935,1.994
2006-05-19,1.995,2.01,1.9,1.915
2006-05-26,1.915,1.915,1.798,1.861
2006-06-02,1.86,1.935,1.803,1.915
2006-06-09,1.915,1.943,1.835,1.846
2006-06-16,1.846,1.865,1.755,1.815
2006-06-23,1.815,1.89,1.805,1.88
2006-06-30,1.875,1.938,1.87,1.93
2006-07-07,1.947,1.995,1.94,1.96
2006-07-14,1.97,1.99,1.845,1.848
2006-07-21,1.848,1.87,1.79,1.82
2006-07-28,1.82,1.937,1.82,1.931
2006-08-04,1.93,1.94,1.865,1.875
2006-08-11,1.861,1.905,1.81,1.843
2006-08-18,1.845,1.889,1.81,1.859
2006-08-25,1.86,1.86,1.705,1.711
2006-09-01,1.688,1.715,1.606,1.65
2006-09-08,1.65,1.745,1.65,1.729
2006-09-15,1.73,1.73,1.661,1.665
2006-09-22,1.665,1.715,1.63,1.63
2006-09-29,1.63,1.698,1.61,1.675
2006-10-06,1.71,1.75,1.689,1.706
2006-10-13,1.705,1.79,1.705,1.77
2006-10-20,1.77,1.82,1.77,1.805
2006-10-27,1.805,1.86,1.725,1.741
2006-11-03,1.74,1.74,1.693,1.716
2006-11-10,1.752,1.78,1.68,1.688
2006-11-17,1.69,1.745,1.66,1.718
2006-11-24,1.72,1.72,1.66,1.664
2006-12-01,1.671,1.705,1.605,1.608
2006-12-08,1.6,1.715,1.59,1.7
2006-12-15,1.7,1.71,1.61,1.67
2006-12-22,1.67,1.695,1.585,1.599
2006-12-29,1.6,1.69,1.575,1.685
2007-01-05,1.7,1.725,1.695,1.719
2007-01-12,1.72,1.765,1.719,1.745
