Date,Open,High,Low,Close
2005-12-02,4.209,4.261,4.178,4.226
2005-12-09,4.255,4.335,4.225,4.331
2005-12-16,4.321,4.336,4.23,4.239
2005-12-23,4.218,4.224,4.169,4.181
2005-12-30,4.181,4.181,4.073,4.1
2006-01-06,4.1,4.159,4.043,4.076
2006-01-13,4.08,4.143,4.049,4.058
2006-01-20,4.033,4.066,3.918,4.042
2006-01-27,4.02,4.22,3.983,4.198
2006-02-03,4.204,4.236,4.129,4.184
2006-02-10,4.188,4.232,4.122,4.182
2006-02-17,4.156,4.231,4.123,4.13
2006-02-24,4.102,4.185,4.095,4.168
2006-03-03,4.166,4.261,4.152,4.26
2006-03-10,4.249,4.367,4.229,4.344
2006-03-17,4.345,4.383,4.276,4.366
2006-03-24,4.365,4.394,4.276,4.329
2006-03-31,4.319,4.417,4.302,4.398
2006-04-07,4.416,4.447,4.369,4.414
2006-04-14,4.413,4.54,4.407,4.538
2006-04-21,4.538,4.554,4.467,4.552
2006-04-28,4.549,4.712,4.527,4.635
2006-05-05,4.611,4.721,4.61,4.684
2006-05-12,4.684,4.756,4.661,4.744
2006-05-19,4.749,4.753,4.545,4.606
2006-05-26,4.587,4.637,4.519,4.548
2006-06-02,4.551,4.654,4.527,4.585
2006-06-09,4.574,4.669,4.557,4.57
2006-06-16,4.568,4.637,4.496,4.611
2006-06-23,4.623,4.752,4.61,4.748
2006-06-30,4.737,4.761,4.699,4.71
2006-07-07,4.708,4.754,4.646,4.648
2006-07-14,4.646,4.693,4.575,4.582
2006-07-21,4.579,4.69,4.57,4.612
2006-07-28,4.626,4.689,4.584,4.593
2006-08-04,4.6,4.778,4.595,4.706
2006-08-11,4.71,4.759,4.639,4.75
2006-08-18,4.779,4.786,4.607,4.611
2006-08-25,4.59,4.614,4.524,4.551
2006-09-01,4.555,4.575,4.492,4.502
2006-09-08,4.493,4.599,4.493,4.537
2006-09-15,4.545,4.619,4.535,4.577
2006-09-22,4.614,4.666,4.494,4.498
