Date,Close,Open,High,Low,delta
28-May-17,2.405,2.398,2.442,2.381,0.0080
21-May-17,2.413,2.493,2.513,2.413,0.0740
14-May-17,2.487,2.563,2.609,2.468,0.1500
7-May-17,2.637,2.626,2.722,2.626,0.0240
30-Apr-17,2.661,2.579,2.692,2.567,-0.0750
23-Apr-17,2.586,2.575,2.667,2.567,-0.0320
16-Apr-17,2.554,2.544,2.568,2.448,-0.0860
9-Apr-17,2.468,2.605,2.625,2.451,0.0830
2-Apr-17,2.551,2.743,2.743,2.52,0.1680
26-Mar-17,2.719,2.744,2.781,2.694,0.0570
19-Mar-17,2.776,2.865,2.869,2.746,0.0940
12-Mar-17,2.87,2.971,2.986,2.804,0.1140
5-Mar-17,2.984,2.844,2.988,2.809,-0.1590
26-Feb-17,2.825,2.701,2.842,2.673,-0.0860
19-Feb-17,2.739,2.802,2.84,2.735,0.0840
12-Feb-17,2.823,2.703,2.833,2.7,-0.1160
5-Feb-17,2.707,2.824,2.835,2.642,0.0910
29-Jan-17,2.798,2.779,2.8,2.715,-0.0010
22-Jan-17,2.797,2.806,2.821,2.703,-0.0140
15-Jan-17,2.783,2.729,2.82,2.662,-0.0690
8-Jan-17,2.714,2.757,2.764,2.662,-0.0070
1-Jan-17,2.707,2.782,2.814,2.687,0.0660
25-Dec-16,2.773,2.886,2.906,2.757,0.1100
18-Dec-16,2.883,2.878,2.921,2.807,0.0130
11-Dec-16,2.896,2.891,2.945,2.802,-0.0460
4-Dec-16,2.85,2.825,2.867,2.727,0.0220
27-Nov-16,2.872,2.747,2.905,2.668,-0.0810
20-Nov-16,2.791,2.716,2.827,2.636,-0.0680
13-Nov-16,2.723,2.655,2.748,2.582,-0.1250
6-Nov-16,2.598,2.308,2.606,2.243,-0.2380
30-Oct-16,2.36,2.371,2.381,2.295,0.0230
23-Oct-16,2.383,2.288,2.402,2.258,-0.0840
16-Oct-16,2.299,2.313,2.377,2.281,-0.0240
9-Oct-16,2.275,2.198,2.322,2.178,-0.0920
2-Oct-16,2.183,2.014,2.214,1.957,-0.2110
