Date,Close,Open,High,Low,delta
28-May-17,1.423,1.446,1.447,1.399,0.0200
21-May-17,1.443,1.475,1.519,1.425,0.0280
14-May-17,1.471,1.569,1.601,1.417,0.1010
7-May-17,1.572,1.516,1.645,1.51,-0.0290
30-Apr-17,1.543,1.545,1.601,1.503,0.0070
23-Apr-17,1.55,1.509,1.621,1.475,-0.0830
16-Apr-17,1.467,1.494,1.518,1.427,0.0270
9-Apr-17,1.494,1.581,1.604,1.493,0.1000
2-Apr-17,1.594,1.618,1.627,1.505,0.0300
26-Mar-17,1.624,1.63,1.659,1.563,0.0170
19-Mar-17,1.641,1.753,1.779,1.621,0.1190
12-Mar-17,1.76,1.803,1.876,1.754,0.0490
5-Mar-17,1.809,1.69,1.84,1.674,-0.1090
26-Feb-17,1.7,1.623,1.735,1.607,-0.0970
19-Feb-17,1.603,1.735,1.761,1.599,0.1080
12-Feb-17,1.711,1.71,1.801,1.694,-0.0180
5-Feb-17,1.693,1.74,1.741,1.607,0.0690
29-Jan-17,1.762,1.786,1.802,1.712,0.0150
22-Jan-17,1.777,1.721,1.851,1.66,-0.0270
15-Jan-17,1.75,1.695,1.79,1.627,-0.0350
8-Jan-17,1.715,1.719,1.729,1.621,0.0130
1-Jan-17,1.728,1.717,1.796,1.641,-0.0140
25-Dec-16,1.714,1.797,1.802,1.7,0.0830
18-Dec-16,1.797,1.83,1.839,1.775,0.0340
11-Dec-16,1.831,1.728,1.859,1.693,-0.1030
4-Dec-16,1.728,1.603,1.758,1.586,-0.1090
27-Nov-16,1.619,1.547,1.712,1.508,-0.0590
20-Nov-16,1.56,1.546,1.614,1.528,0.0190
13-Nov-16,1.579,1.557,1.602,1.475,-0.1470
6-Nov-16,1.432,1.16,1.498,1.135,-0.2720
30-Oct-16,1.16,1.213,1.255,1.153,0.0680
23-Oct-16,1.228,1.131,1.261,1.081,-0.0970
16-Oct-16,1.131,1.249,1.3,1.12,0.1180
9-Oct-16,1.249,1.192,1.27,1.116,-0.0790
2-Oct-16,1.17,0.997,1.191,0.947,-0.1730
25-Sep-16,0.997,1.042,1.096,0.904,0.0450
18-Sep-16,1.042,1.19,1.243,1.032,0.1480
11-Sep-16,1.19,1.151,1.281,1.1,-0.0390
4-Sep-16,1.151,1.073,1.164,0.954,-0.0880
28-Aug-16,1.063,1.092,1.092,0.974,0.0290
21-Aug-16,1.092,1.078,1.129,0.975,-0.0140
