Date,Close,Open,High,Low,delta
28-May-17,3.67,3.7,3.7,3.662,0.014
21-May-17,3.684,3.7,3.705,3.648,-0.047
14-May-17,3.637,3.71,3.71,3.626,0.032
7-May-17,3.669,3.58,3.717,3.575,-0.095
30-Apr-17,3.574,3.5,3.575,3.455,-0.097
23-Apr-17,3.477,3.49,3.519,3.46,-0.023
16-Apr-17,3.454,3.415,3.458,3.37,-0.095
9-Apr-17,3.359,3.33,3.359,3.295,-0.056
2-Apr-17,3.303,3.334,3.37,3.28,0.007
26-Mar-17,3.31,3.28,3.332,3.257,-0.004
19-Mar-17,3.306,3.35,3.363,3.305,0.025
12-Mar-17,3.331,3.45,3.45,3.327,0.105
5-Mar-17,3.436,3.38,3.451,3.363,-0.014
26-Feb-17,3.422,3.4,3.423,3.342,-0.057
19-Feb-17,3.365,3.4,3.408,3.357,0.048
12-Feb-17,3.413,3.5,3.5,3.413,0.016
5-Feb-17,3.429,3.427,3.5,3.41,-0.031
29-Jan-17,3.398,3.4,3.45,3.39,-0.035
22-Jan-17,3.363,3.308,3.363,3.277,-0.082
15-Jan-17,3.281,3.25,3.308,3.221,-0.063
8-Jan-17,3.218,3.25,3.25,3.183,0.01
1-Jan-17,3.228,3.228,3.228,3.228,-0.162
25-Dec-16,3.066,3.066,3.066,3.066,0.149
18-Dec-16,3.215,3.215,3.215,3.215,0.115
11-Dec-16,3.33,3.33,3.33,3.33,-0.233
4-Dec-16,3.097,3.097,3.097,3.097,-0.071
27-Nov-16,3.026,3.026,3.026,3.026,-0.15
20-Nov-16,2.876,2.876,2.876,2.876,0.045
13-Nov-16,2.921,2.921,2.921,2.921,-0.092
6-Nov-16,2.829,2.829,2.829,2.829,-0.085
30-Oct-16,2.744,2.744,2.744,2.744,-0.019
23-Oct-16,2.725,2.725,2.725,2.725,-0.065
16-Oct-16,2.66,2.66,2.66,2.66,0.075
9-Oct-16,2.735,2.735,2.735,2.735,0.03
2-Oct-16,2.765,2.78,2.78,2.753,0.004
25-Sep-16,2.769,2.769,2.769,2.769,0.012
18-Sep-16,2.781,2.781,2.781,2.781,0.016
11-Sep-16,2.797,2.797,2.797,2.797,0.012
4-Sep-16,2.809,2.809,2.809,2.809,-0.01
28-Aug-16,2.799,2.799,2.799,2.799,-0.035
21-Aug-16,2.764,2.764,2.764,2.764,-0.044
14-Aug-16,2.72,2.72,2.72,2.72,-0.015
7-Aug-16,2.705,2.705,2.705,2.705,0.077
31-Jul-16,2.782,2.782,2.782,2.782,0.023
24-Jul-16,2.805,2.805,2.805,2.805,-0.002
17-Jul-16,2.803,2.803,2.803,2.803,0.054
10-Jul-16,2.857,2.857,2.857,2.857,-0.032
3-Jul-16,2.825,2.825,2.825,2.825,0.026
26-Jun-16,2.851,2.851,2.851,2.851,0.099
19-Jun-16,2.95,2.95,2.95,2.95,0.016
12-Jun-16,2.966,2.966,2.966,2.966,0.054
5-Jun-16,3.02,3.02,3.02,3.02,0.015
29-May-16,3.035,3.035,3.035,3.035,-0.063
22-May-16,2.972,2.972,2.972,2.972,0.019
15-May-16,2.991,2.991,2.991,2.991,-0.063
8-May-16,2.928,2.928,2.928,2.928,0.002
1-May-16,2.93,2.93,2.93,2.93,0.016
24-Apr-16,2.946,2.946,2.946,2.946,0.016
17-Apr-16,2.962,2.962,2.962,2.962,-0.015
10-Apr-16,2.947,2.947,2.947,2.947,-0.012
3-Apr-16,2.935,2.935,2.935,2.935,-0.046
27-Mar-16,2.889,2.889,2.889,2.889,0.008
20-Mar-16,2.897,2.897,2.897,2.897,-0.011
13-Mar-16,2.886,2.886,2.886,2.886,0.023
6-Mar-16,2.909,2.909,2.909,2.909,0.024
28-Feb-16,2.933,2.933,2.933,2.933,-0.014
21-Feb-16,2.919,2.919,2.919,2.919,-0.048
14-Feb-16,2.871,2.871,2.871,2.871,0.015
7-Feb-16,2.886,2.907,2.907,2.883,0.007
31-Jan-16,2.893,2.893,2.893,2.893,0.018
24-Jan-16,2.911,2.911,2.911,2.911,-0.094
17-Jan-16,2.817,2.817,2.817,2.817,-0.029
10-Jan-16,2.788,2.788,2.788,2.788,0.095
3-Jan-16,2.883,2.883,2.883,2.883,-0.021
27-Dec-15,2.862,2.862,2.862,2.862,-0.03
20-Dec-15,2.832,2.832,2.832,2.832,0.178
13-Dec-15,3.01,3.01,3.01,3.01,0.019
6-Dec-15,3.029,3.029,3.029,3.029,0.038
29-Nov-15,3.067,3.067,3.067,3.067,0.021
22-Nov-15,3.088,3.088,3.088,3.088,0.08
15-Nov-15,3.168,3.168,3.168,3.168,0.027
8-Nov-15,3.195,3.195,3.195,3.195,-0.043
1-Nov-15,3.152,3.152,3.152,3.152,-0.065
25-Oct-15,3.087,3.087,3.087,3.087,-0.007
18-Oct-15,3.08,3.08,3.08,3.08,0.035
11-Oct-15,3.115,3.115,3.115,3.115,0.148
4-Oct-15,3.263,3.263,3.263,3.263,0.013
27-Sep-15,3.276,3.276,3.276,3.276,0.071
20-Sep-15,3.347,3.347,3.347,3.347,0.004
13-Sep-15,3.351,3.351,3.351,3.351,0.022
6-Sep-15,3.373,3.373,3.373,3.373,-0.04
30-Aug-15,3.333,3.333,3.333,3.333,0.083
23-Aug-15,3.416,3.416,3.416,3.416,0.122
16-Aug-15,3.538,3.538,3.538,3.538,0.003
9-Aug-15,3.541,3.541,3.541,3.541,-0.051
2-Aug-15,3.49,3.49,3.49,3.49,-0.016
26-Jul-15,3.474,3.474,3.474,3.474,0.027
19-Jul-15,3.501,3.501,3.501,3.501,0.045
12-Jul-15,3.546,3.546,3.546,3.546,-0.073
5-Jul-15,3.473,3.473,3.473,3.473,0.171
28-Jun-15,3.644,3.644,3.644,3.644,-0.014
21-Jun-15,3.63,3.63,3.63,3.63,-0.033
14-Jun-15,3.597,3.597,3.597,3.597,0.046
7-Jun-15,3.643,3.643,3.643,3.643,-0.031
31-May-15,3.612,3.612,3.612,3.612,-0.021
24-May-15,3.591,3.591,3.591,3.591,-0.139
17-May-15,3.452,3.452,3.452,3.452,-0.038
10-May-15,3.414,3.414,3.414,3.414,0.037
3-May-15,3.451,3.451,3.451,3.451,-0.029
26-Apr-15,3.422,3.422,3.422,3.422,0.034
19-Apr-15,3.456,3.456,3.456,3.456,0.126
12-Apr-15,3.582,3.582,3.582,3.582,0.139
5-Apr-15,3.721,3.721,3.721,3.721,-0.144
29-Mar-15,3.577,3.577,3.577,3.577,-0.015
22-Mar-15,3.562,3.562,3.562,3.562,-0.016
15-Mar-15,3.546,3.546,3.546,3.546,-0.075
8-Mar-15,3.471,3.471,3.471,3.471,0.013
1-Mar-15,3.484,3.484,3.484,3.484,-0.109
22-Feb-15,3.375,3.375,3.375,3.375,-0.017
15-Feb-15,3.358,3.358,3.358,3.358,0.045
8-Feb-15,3.403,3.403,3.403,3.403,0.038
1-Feb-15,3.441,3.441,3.441,3.441,0.073
25-Jan-15,3.514,3.514,3.514,3.514,-0.042
18-Jan-15,3.472,3.472,3.472,3.472,0.091
11-Jan-15,3.563,3.563,3.563,3.563,0.098
4-Jan-15,3.661,3.661,3.661,3.661,-0.013
28-Dec-14,3.648,3.648,3.648,3.648,0.001
21-Dec-14,3.649,3.649,3.649,3.649,0.13
14-Dec-14,3.779,3.779,3.779,3.779,-0.012
7-Dec-14,3.767,3.767,3.767,3.767,-0.083
