Date,Close,Open,High,Low,delta
28-May-17,0.302,0.336,0.342,0.285,0.031
21-May-17,0.333,0.379,0.422,0.322,0.043
14-May-17,0.376,0.399,0.45,0.313,0.018
7-May-17,0.394,0.43,0.461,0.383,0.021
30-Apr-17,0.415,0.33,0.426,0.311,-0.091
23-Apr-17,0.324,0.357,0.394,0.292,-0.071
16-Apr-17,0.253,0.176,0.258,0.153,-0.064
9-Apr-17,0.189,0.245,0.246,0.162,0.039
2-Apr-17,0.228,0.331,0.338,0.216,0.103
26-Mar-17,0.331,0.388,0.418,0.321,0.075
19-Mar-17,0.406,0.433,0.488,0.387,0.03
12-Mar-17,0.436,0.48,0.51,0.384,0.048
5-Mar-17,0.484,0.343,0.497,0.301,-0.129
26-Feb-17,0.355,0.191,0.363,0.185,-0.173
19-Feb-17,0.182,0.318,0.333,0.177,0.12
12-Feb-17,0.302,0.328,0.394,0.292,0.012
5-Feb-17,0.314,0.414,0.423,0.289,0.098
29-Jan-17,0.412,0.463,0.496,0.406,0.051
22-Jan-17,0.463,0.393,0.503,0.357,-0.04
15-Jan-17,0.423,0.306,0.431,0.272,-0.083
8-Jan-17,0.34,0.299,0.357,0.238,-0.041
1-Jan-17,0.299,0.198,0.308,0.152,-0.091
25-Dec-16,0.208,0.229,0.233,0.163,0.014
18-Dec-16,0.222,0.327,0.336,0.215,0.093
11-Dec-16,0.315,0.382,0.422,0.294,0.051
4-Dec-16,0.366,0.253,0.453,0.252,-0.086
27-Nov-16,0.28,0.24,0.371,0.184,-0.039
20-Nov-16,0.241,0.276,0.311,0.208,0.031
13-Nov-16,0.272,0.349,0.397,0.254,0.037
6-Nov-16,0.309,0.135,0.345,0.093,-0.174
30-Oct-16,0.135,0.165,0.206,0.113,0.033
23-Oct-16,0.168,0.009,0.219,-0.02,-0.164
16-Oct-16,0.004,0.067,0.103,-0.005,0.055
9-Oct-16,0.059,0.012,0.075,0.001,-0.038
2-Oct-16,0.021,-0.117,0.031,-0.125,-0.141
25-Sep-16,-0.12,-0.085,-0.081,-0.161,0.039
18-Sep-16,-0.081,0.007,0.025,-0.095,0.088
11-Sep-16,0.007,0.022,0.081,-0.024,0.005
4-Sep-16,0.012,-0.049,0.021,-0.127,-0.054
28-Aug-16,-0.042,-0.039,-0.03,-0.101,-0.029
21-Aug-16,-0.071,-0.04,-0.04,-0.103,0.037
14-Aug-16,-0.034,-0.109,-0.025,-0.11,-0.073
7-Aug-16,-0.107,-0.058,-0.036,-0.121,0.04
31-Jul-16,-0.067,-0.111,-0.017,-0.116,-0.053
24-Jul-16,-0.12,-0.019,-0.004,-0.122,0.091
17-Jul-16,-0.029,-0.015,0.03,-0.052,0.036
10-Jul-16,0.007,-0.19,0.012,-0.199,-0.191
3-Jul-16,-0.184,-0.125,-0.106,-0.204,0.054
26-Jun-16,-0.13,-0.075,-0.063,-0.146,0.078
19-Jun-16,-0.052,0.043,0.116,-0.17,0.072
12-Jun-16,0.02,0.014,0.037,-0.038,0.001
5-Jun-16,0.021,0.07,0.093,0.01,0.053
29-May-16,0.074,0.151,0.192,0.065,0.069
22-May-16,0.143,0.17,0.206,0.12,0.028
15-May-16,0.171,0.123,0.21,0.119,-0.042
8-May-16,0.129,0.167,0.17,0.099,0.017
1-May-16,0.146,0.272,0.284,0.141,0.136
24-Apr-16,0.282,0.224,0.306,0.212,-0.05
17-Apr-16,0.232,0.127,0.242,0.114,-0.099
10-Apr-16,0.133,0.091,0.182,0.075,-0.036
3-Apr-16,0.097,0.12,0.151,0.081,0.048
27-Mar-16,0.145,0.178,0.18,0.123,0.034
20-Mar-16,0.179,0.213,0.241,0.159,0.039
13-Mar-16,0.218,0.273,0.32,0.198,0.062
6-Mar-16,0.28,0.216,0.33,0.16,-0.041
28-Feb-16,0.239,0.138,0.242,0.103,-0.093
21-Feb-16,0.146,0.214,0.229,0.127,0.059
14-Feb-16,0.205,0.278,0.299,0.179,0.06
7-Feb-16,0.265,0.296,0.302,0.132,0.036
31-Jan-16,0.301,0.336,0.362,0.265,0.033
24-Jan-16,0.334,0.487,0.493,0.33,0.151
17-Jan-16,0.485,0.486,0.525,0.433,-0.012
10-Jan-16,0.473,0.514,0.583,0.457,0.036
3-Jan-16,0.509,0.597,0.597,0.475,0.126
27-Dec-15,0.635,0.618,0.654,0.553,-0.007
20-Dec-15,0.628,0.562,0.642,0.538,-0.077
13-Dec-15,0.551,0.552,0.683,0.539,-0.008
6-Dec-15,0.543,0.686,0.689,0.529,0.147
29-Nov-15,0.69,0.462,0.742,0.448,-0.235
22-Nov-15,0.455,0.491,0.549,0.437,0.024
15-Nov-15,0.479,0.543,0.576,0.469,0.083
8-Nov-15,0.562,0.694,0.725,0.553,0.135
1-Nov-15,0.697,0.512,0.702,0.51,-0.174
25-Oct-15,0.523,0.51,0.546,0.424,-0.015
18-Oct-15,0.508,0.552,0.639,0.482,0.041
11-Oct-15,0.549,0.614,0.623,0.528,0.072
4-Oct-15,0.621,0.516,0.632,0.512,-0.105
27-Sep-15,0.516,0.641,0.65,0.48,0.135
20-Sep-15,0.651,0.67,0.696,0.568,0.014
13-Sep-15,0.665,0.655,0.796,0.635,-0.007
6-Sep-15,0.658,0.669,0.722,0.649,0.006
30-Aug-15,0.664,0.739,0.822,0.662,0.062
23-Aug-15,0.726,0.557,0.761,0.512,-0.154
16-Aug-15,0.572,0.647,0.665,0.56,0.085
9-Aug-15,0.657,0.661,0.708,0.586,0.001
2-Aug-15,0.658,0.654,0.76,0.597,-0.01
26-Jul-15,0.648,0.694,0.737,0.643,0.052
19-Jul-15,0.7,0.794,0.813,0.693,0.09
12-Jul-15,0.79,0.87,0.971,0.751,0.106
5-Jul-15,0.896,0.725,0.899,0.608,-0.102
28-Jun-15,0.794,0.917,0.917,0.707,0.128
21-Jun-15,0.922,0.793,0.944,0.791,-0.16
14-Jun-15,0.762,0.812,0.845,0.727,0.09
7-Jun-15,0.852,0.853,1.059,0.821,-0.003
31-May-15,0.849,0.497,0.998,0.473,-0.363
24-May-15,0.486,0.589,0.603,0.484,0.117
17-May-15,0.603,0.651,0.681,0.555,0.036
10-May-15,0.639,0.534,0.774,0.52,-0.094
3-May-15,0.545,0.379,0.796,0.362,-0.181
26-Apr-15,0.364,0.144,0.386,0.134,-0.206
19-Apr-15,0.158,0.071,0.182,0.063,-0.079
12-Apr-15,0.079,0.154,0.171,0.049,0.077
5-Apr-15,0.156,0.183,0.197,0.14,0.027
29-Mar-15,0.183,0.206,0.218,0.152,0.026
22-Mar-15,0.209,0.18,0.24,0.171,-0.024
15-Mar-15,0.185,0.251,0.294,0.168,0.074
8-Mar-15,0.259,0.397,0.398,0.187,0.141
1-Mar-15,0.4,0.326,0.429,0.314,-0.076
22-Feb-15,0.324,0.385,0.395,0.284,0.048
15-Feb-15,0.372,0.352,0.409,0.317,-0.023
8-Feb-15,0.349,0.371,0.401,0.318,0.025
1-Feb-15,0.374,0.316,0.391,0.299,-0.061
25-Jan-15,0.313,0.354,0.424,0.306,0.053
18-Jan-15,0.366,0.46,0.584,0.346,0.092
11-Jan-15,0.458,0.493,0.513,0.402,0.024
4-Jan-15,0.482,0.499,0.527,0.432,0.016
28-Dec-14,0.498,0.594,0.601,0.493,0.097
21-Dec-14,0.595,0.596,0.613,0.582,-0.001
14-Dec-14,0.594,0.632,0.65,0.566,0.032
7-Dec-14,0.626,0.777,0.789,0.618,0.157
30-Nov-14,0.783,0.694,0.79,0.691,-0.081
23-Nov-14,0.702,0.773,0.79,0.695,0.069
16-Nov-14,0.771,0.774,0.855,0.766,0.02
9-Nov-14,0.791,0.821,0.853,0.783,0.034
2-Nov-14,0.825,0.83,0.865,0.802,0.016
26-Oct-14,0.841,0.897,0.913,0.832,0.047
19-Oct-14,0.888,0.858,0.9,0.823,-0.023
12-Oct-14,0.865,0.865,0.904,0.716,0.028
5-Oct-14,0.893,0.922,0.929,0.859,0.039
28-Sep-14,0.932,0.968,0.989,0.897,0.036
21-Sep-14,0.968,1.02,1.039,0.95,0.076
14-Sep-14,1.044,1.086,1.113,1.031,0.042
7-Sep-14,1.086,0.942,1.099,0.918,-0.152
31-Aug-14,0.934,0.892,0.983,0.88,-0.046
24-Aug-14,0.888,0.992,0.992,0.868,0.099
17-Aug-14,0.987,0.99,1.022,0.964,-0.019
10-Aug-14,0.968,1.074,1.087,0.96,0.085
3-Aug-14,1.053,1.138,1.186,1.023,0.087
27-Jul-14,1.14,1.149,1.2,1.111,0.006
20-Jul-14,1.146,1.153,1.188,1.139,0.014
13-Jul-14,1.16,1.217,1.221,1.136,0.044
6-Jul-14,1.204,1.267,1.277,1.168,0.062
29-Jun-14,1.266,1.263,1.334,1.236,-0.003
22-Jun-14,1.263,1.347,1.357,1.238,0.086
15-Jun-14,1.349,1.362,1.419,1.306,0.022
8-Jun-14,1.371,1.371,1.445,1.351,-0.014
1-Jun-14,1.357,1.36,1.492,1.332,0
25-May-14,1.357,1.413,1.433,1.331,0.055
18-May-14,1.412,1.33,1.422,1.312,-0.076
11-May-14,1.336,1.466,1.475,1.298,0.123
4-May-14,1.459,1.447,1.495,1.439,-0.007
27-Apr-14,1.452,1.494,1.538,1.448,0.031
20-Apr-14,1.483,1.528,1.558,1.477,0.032
13-Apr-14,1.515,1.493,1.533,1.472,-0.009
6-Apr-14,1.506,1.548,1.589,1.49,0.051
30-Mar-14,1.557,1.561,1.64,1.55,-0.006
23-Mar-14,1.551,1.642,1.656,1.513,0.082
16-Mar-14,1.633,1.547,1.67,1.541,-0.086
9-Mar-14,1.547,1.634,1.661,1.506,0.106
2-Mar-14,1.653,1.58,1.683,1.555,-0.026
23-Feb-14,1.627,1.662,1.695,1.547,0.04
16-Feb-14,1.667,1.682,1.704,1.633,0.02
9-Feb-14,1.687,1.667,1.726,1.654,-0.026
2-Feb-14,1.661,1.659,1.705,1.599,-0.002
26-Jan-14,1.659,1.662,1.702,1.603,-0.004
19-Jan-14,1.655,1.752,1.773,1.638,0.1
12-Jan-14,1.755,1.841,1.854,1.751,0.091
5-Jan-14,1.846,1.927,1.93,1.839,0.098
29-Dec-13,1.944,1.961,1.971,1.929,0.007
22-Dec-13,1.951,1.877,1.954,1.869,-0.085
15-Dec-13,1.866,1.817,1.906,1.812,-0.038
8-Dec-13,1.828,1.847,1.855,1.815,0.009
1-Dec-13,1.837,1.702,1.891,1.697,-0.147
24-Nov-13,1.69,1.759,1.76,1.683,0.059
17-Nov-13,1.749,1.707,1.784,1.679,-0.04
10-Nov-13,1.709,1.757,1.796,1.695,0.054
3-Nov-13,1.763,1.693,1.771,1.671,-0.07
27-Oct-13,1.693,1.763,1.767,1.651,0.061
20-Oct-13,1.754,1.836,1.857,1.737,0.082
13-Oct-13,1.836,1.857,1.946,1.818,0.026
6-Oct-13,1.862,1.817,1.883,1.778,-0.029
29-Sep-13,1.833,1.76,1.852,1.743,-0.053
22-Sep-13,1.78,1.944,1.981,1.772,0.173
15-Sep-13,1.953,1.934,2.016,1.864,0.022
8-Sep-13,1.975,1.96,2.048,1.928,-0.028
1-Sep-13,1.947,1.902,2.05,1.891,-0.092
25-Aug-13,1.855,1.93,1.934,1.822,0.077
18-Aug-13,1.932,1.909,1.981,1.836,-0.055
11-Aug-13,1.877,1.676,1.907,1.676,-0.195
4-Aug-13,1.682,1.649,1.724,1.625,-0.024
28-Jul-13,1.658,1.658,1.734,1.595,0.008
21-Jul-13,1.666,1.516,1.696,1.508,-0.141
14-Jul-13,1.525,1.548,1.593,1.504,0.029
7-Jul-13,1.554,1.707,1.731,1.537,0.169
30-Jun-13,1.723,1.74,1.768,1.598,0.007
23-Jun-13,1.73,1.775,1.855,1.696,0.01
16-Jun-13,1.74,1.541,1.742,1.506,-0.227
9-Jun-13,1.513,1.555,1.657,1.509,0.033
2-Jun-13,1.546,1.503,1.577,1.485,-0.035
26-May-13,1.511,1.436,1.552,1.424,-0.08
19-May-13,1.431,1.357,1.474,1.325,-0.115
12-May-13,1.316,1.389,1.408,1.289,0.07
5-May-13,1.386,1.245,1.386,1.226,-0.141
28-Apr-13,1.245,1.209,1.257,1.153,-0.036
21-Apr-13,1.209,1.262,1.29,1.194,0.043
14-Apr-13,1.252,1.257,1.306,1.219,0.007
7-Apr-13,1.259,1.217,1.336,1.215,-0.049
31-Mar-13,1.21,1.276,1.319,1.199,0.072
24-Mar-13,1.282,1.406,1.415,1.249,0.096
17-Mar-13,1.378,1.363,1.411,1.335,0.074
10-Mar-13,1.452,1.5,1.524,1.445,0.074
3-Mar-13,1.526,1.397,1.542,1.391,-0.113
24-Feb-13,1.413,1.572,1.635,1.404,0.155
17-Feb-13,1.568,1.648,1.68,1.558,0.091
10-Feb-13,1.659,1.589,1.699,1.588,-0.049
3-Feb-13,1.61,1.714,1.715,1.585,0.055
27-Jan-13,1.665,1.658,1.734,1.634,-0.027
20-Jan-13,1.638,1.57,1.653,1.505,-0.08
13-Jan-13,1.558,1.572,1.642,1.472,0.026
