Date,Close,Open,High,Low,delta
28-May-17,0.045,0.039,0.048,0.034,-0.009
21-May-17,0.036,0.042,0.055,0.036,0.003
14-May-17,0.039,0.041,0.051,0.033,0.005
7-May-17,0.044,0.025,0.054,0.025,-0.023
30-Apr-17,0.021,0.013,0.021,0.011,-0.005
23-Apr-17,0.016,0.022,0.03,0.014,0
16-Apr-17,0.016,0.008,0.023,0.001,-0.001
9-Apr-17,0.015,0.059,0.061,0.006,0.035
2-Apr-17,0.05,0.067,0.076,0.05,0.021
26-Mar-17,0.071,0.063,0.074,0.055,-0.007
19-Mar-17,0.064,0.069,0.071,0.053,0.012
12-Mar-17,0.076,0.096,0.096,0.071,0.014
5-Mar-17,0.09,0.076,0.099,0.065,-0.014
26-Feb-17,0.076,0.055,0.09,0.05,-0.015
19-Feb-17,0.061,0.089,0.1,0.056,0.031
12-Feb-17,0.092,0.088,0.101,0.087,-0.005
5-Feb-17,0.087,0.097,0.107,0.083,0.011
29-Jan-17,0.098,0.083,0.155,0.079,-0.018
22-Jan-17,0.08,0.063,0.092,0.043,-0.014
15-Jan-17,0.066,0.049,0.082,0.041,-0.016
8-Jan-17,0.05,0.059,0.064,0.044,0.006
1-Jan-17,0.056,0.046,0.071,0.045,-0.007
25-Dec-16,0.049,0.058,0.065,0.035,0.006
18-Dec-16,0.055,0.085,0.085,0.05,0.025
11-Dec-16,0.08,0.064,0.093,0.049,-0.024
4-Dec-16,0.056,0.032,0.068,0.025,-0.016
27-Nov-16,0.04,0.036,0.051,0.01,-0.003
20-Nov-16,0.037,0.036,0.051,0.019,0.003
13-Nov-16,0.04,-0.029,0.043,-0.031,-0.072
6-Nov-16,-0.032,-0.057,-0.019,-0.083,-0.028
30-Oct-16,-0.06,-0.046,-0.043,-0.065,0.016
23-Oct-16,-0.044,-0.054,-0.04,-0.066,-0.015
16-Oct-16,-0.059,-0.053,-0.048,-0.069,0.005
9-Oct-16,-0.054,-0.056,-0.041,-0.063,-0.008
2-Oct-16,-0.062,-0.076,-0.048,-0.076,-0.016
25-Sep-16,-0.078,-0.042,-0.042,-0.089,0.03
18-Sep-16,-0.048,-0.041,0.011,-0.062,0.014
11-Sep-16,-0.034,-0.009,-0.002,-0.043,0.021
4-Sep-16,-0.013,-0.013,-0.002,-0.065,-0.007
28-Aug-16,-0.02,-0.068,-0.013,-0.08,-0.048
21-Aug-16,-0.068,-0.071,-0.064,-0.095,-0.015
