Date,Close,Open,High,Low,delta
28-May-17,2.805,2.83,2.87,2.805,0.015
21-May-17,2.82,2.865,2.895,2.81,0.035
14-May-17,2.855,3,3,2.825,0.135
7-May-17,2.99,3.065,3.135,2.99,0.075
30-Apr-17,3.065,3.075,3.085,2.995,0.01
23-Apr-17,3.075,2.995,3.11,2.985,-0.08
16-Apr-17,2.995,2.96,3.02,2.925,-0.035
9-Apr-17,2.96,3.09,3.16,2.955,0.12
2-Apr-17,3.08,3.22,3.22,3.075,0.13
26-Mar-17,3.21,3.24,3.27,3.19,0.02
19-Mar-17,3.23,3.305,3.305,3.215,0.065
12-Mar-17,3.295,3.43,3.43,3.275,0.125
5-Mar-17,3.42,3.325,3.435,3.32,-0.09
26-Feb-17,3.33,3.265,3.385,3.235,-0.075
19-Feb-17,3.255,3.36,3.36,3.23,0.105
12-Feb-17,3.36,3.225,3.395,3.2,-0.135
5-Feb-17,3.225,3.415,3.415,3.18,0.18
29-Jan-17,3.405,3.44,3.445,3.355,0.035
22-Jan-17,3.44,3.28,3.44,3.235,-0.17
15-Jan-17,3.27,3.155,3.28,3.09,-0.125
8-Jan-17,3.145,3.21,3.275,3.11,0.055
1-Jan-17,3.2,3.37,3.37,3.16,0.2
25-Dec-16,3.4,3.495,3.505,3.395,0.095
18-Dec-16,3.495,3.435,3.495,3.415,-0.065
11-Dec-16,3.43,3.305,3.485,3.295,-0.135
4-Dec-16,3.295,3.28,3.31,3.18,-0.015
27-Nov-16,3.28,3.215,3.325,3.085,-0.07
20-Nov-16,3.21,3.12,3.245,3.055,-0.1
13-Nov-16,3.11,3.075,3.23,3.005,-0.045
6-Nov-16,3.065,2.795,3.115,2.745,-0.28
30-Oct-16,2.785,2.74,2.815,2.685,-0.055
23-Oct-16,2.73,2.615,2.74,2.57,-0.115
16-Oct-16,2.615,2.515,2.715,2.51,-0.105
9-Oct-16,2.51,2.525,2.57,2.485,0.005
2-Oct-16,2.515,2.325,2.56,2.325,-0.22
25-Sep-16,2.295,2.405,2.405,2.285,0.115
18-Sep-16,2.41,2.59,2.645,2.4,0.17
11-Sep-16,2.58,2.355,2.6,2.345,-0.235
4-Sep-16,2.345,2.285,2.37,2.26,-0.06
28-Aug-16,2.285,2.29,2.32,2.24,0.005
21-Aug-16,2.29,2.24,2.335,2.23,-0.06
14-Aug-16,2.23,2.17,2.24,2.14,-0.07
7-Aug-16,2.16,2.2,2.245,2.135,0.04
31-Jul-16,2.2,2.22,2.245,2.165,0.01
24-Jul-16,2.21,2.23,2.305,2.21,0.01
17-Jul-16,2.22,2.37,2.37,2.22,0.135
10-Jul-16,2.355,2.27,2.375,2.27,-0.085
3-Jul-16,2.27,2.355,2.355,2.24,0.08
26-Jun-16,2.35,2.39,2.405,2.32,0.04
