Date,Close,Open,High,Low,delta
28-May-17,1.014,1.015,1.021,0.982,-0.001
21-May-17,1.013,1.079,1.103,1.002,0.082
14-May-17,1.095,1.112,1.168,1.03,-0.007
7-May-17,1.088,1.121,1.223,1.082,0.029
30-Apr-17,1.117,1.088,1.124,1.073,-0.03
23-Apr-17,1.087,1.093,1.12,1.05,-0.052
16-Apr-17,1.035,1.03,1.093,1,0.009
9-Apr-17,1.044,1.095,1.109,1.016,0.032
2-Apr-17,1.076,1.141,1.147,1.034,0.064
26-Mar-17,1.14,1.161,1.214,1.11,0.059
19-Mar-17,1.199,1.241,1.299,1.166,0.046
12-Mar-17,1.245,1.211,1.291,1.189,-0.012
5-Mar-17,1.233,1.151,1.263,1.138,-0.048
26-Feb-17,1.185,1.162,1.215,1.132,-0.106
19-Feb-17,1.079,1.228,1.268,1.068,0.134
12-Feb-17,1.213,1.266,1.333,1.2,0.044
5-Feb-17,1.257,1.366,1.366,1.211,0.101
29-Jan-17,1.358,1.479,1.504,1.347,0.111
22-Jan-17,1.469,1.394,1.53,1.365,-0.036
15-Jan-17,1.433,1.33,1.449,1.257,-0.068
8-Jan-17,1.365,1.38,1.381,1.288,0.017
1-Jan-17,1.382,1.241,1.393,1.239,-0.142
25-Dec-16,1.24,1.308,1.324,1.219,0.104
18-Dec-16,1.344,1.449,1.457,1.333,0.093
11-Dec-16,1.437,1.487,1.537,1.383,0.024
4-Dec-16,1.461,1.397,1.466,1.354,-0.081
27-Nov-16,1.38,1.391,1.499,1.355,0.04
20-Nov-16,1.42,1.456,1.484,1.354,0.038
13-Nov-16,1.458,1.45,1.498,1.352,-0.093
6-Nov-16,1.365,1.195,1.415,1.161,-0.235
30-Oct-16,1.13,1.263,1.296,1.115,0.13
23-Oct-16,1.26,1.071,1.312,1.038,-0.172
16-Oct-16,1.088,1.159,1.223,1.046,0.009
9-Oct-16,1.097,0.975,1.149,0.968,-0.118
2-Oct-16,0.979,0.743,1.018,0.713,-0.231
25-Sep-16,0.748,0.706,0.772,0.647,-0.016
18-Sep-16,0.732,0.874,0.891,0.702,0.143
11-Sep-16,0.875,0.88,0.951,0.819,-0.014
4-Sep-16,0.861,0.699,0.871,0.64,-0.132
28-Aug-16,0.729,0.669,0.748,0.608,-0.16
21-Aug-16,0.569,0.601,0.609,0.534,0.05
14-Aug-16,0.619,0.527,0.626,0.503,-0.1
7-Aug-16,0.519,0.667,0.672,0.507,0.154
31-Jul-16,0.673,0.692,0.842,0.632,0.013
24-Jul-16,0.686,0.824,0.84,0.686,0.113
17-Jul-16,0.799,0.818,0.885,0.771,0.035
10-Jul-16,0.834,0.729,0.844,0.709,-0.098
3-Jul-16,0.736,0.864,0.891,0.724,0.128
26-Jun-16,0.864,1.064,1.066,0.779,0.224
19-Jun-16,1.088,1.182,1.396,1.018,0.057
