Date,Close,Open,High,Low,delta
28-May-17,2.159,2.245,2.248,2.144,0.08600
21-May-17,2.25,2.245,2.297,2.226,-0.00500
14-May-17,2.235,2.326,2.361,2.181,0.09100
7-May-17,2.326,2.361,2.423,2.322,0.03500
30-Apr-17,2.35,2.282,2.381,2.279,-0.06800
23-Apr-17,2.289,2.314,2.35,2.266,0.02500
16-Apr-17,2.246,2.2,2.26,2.165,-0.04600
9-Apr-17,2.232,2.384,2.395,2.218,0.15200
2-Apr-17,2.382,2.396,2.405,2.269,0.01400
26-Mar-17,2.389,2.382,2.431,2.348,-0.00700
19-Mar-17,2.418,2.508,2.513,2.375,0.09000
12-Mar-17,2.501,2.584,2.629,2.486,0.08300
5-Mar-17,2.575,2.474,2.624,2.457,-0.10100
26-Feb-17,2.482,2.324,2.521,2.317,-0.15800
19-Feb-17,2.315,2.436,2.461,2.31,0.12100
12-Feb-17,2.42,2.423,2.524,2.4,0.00300
5-Feb-17,2.409,2.472,2.472,2.325,0.06300
29-Jan-17,2.467,2.479,2.518,2.428,0.01200
22-Jan-17,2.486,2.441,2.555,2.381,-0.04500
15-Jan-17,2.467,2.376,2.513,2.305,-0.09100
8-Jan-17,2.398,2.443,2.443,2.307,0.04500
1-Jan-17,2.421,2.439,2.518,2.334,0.01800
25-Dec-16,2.446,2.554,2.576,2.431,0.10800
18-Dec-16,2.543,2.582,2.595,2.526,0.03900
11-Dec-16,2.599,2.489,2.641,2.422,-0.11000
4-Dec-16,2.466,2.363,2.478,2.34,-0.10300
27-Nov-16,2.392,2.339,2.492,2.291,-0.05300
20-Nov-16,2.359,2.353,2.417,2.287,-0.00600
13-Nov-16,2.348,2.171,2.364,2.168,-0.17700
6-Nov-16,2.138,1.831,2.154,1.716,-0.30700
30-Oct-16,1.778,1.84,1.879,1.769,0.06200
23-Oct-16,1.849,1.742,1.879,1.724,-0.10700
16-Oct-16,1.736,1.789,1.814,1.724,0.05300
9-Oct-16,1.805,1.767,1.805,1.727,-0.03800
2-Oct-16,1.723,1.6,1.771,1.593,-0.12300
25-Sep-16,1.598,1.617,1.62,1.536,0.01900
18-Sep-16,1.62,1.693,1.738,1.606,0.07300
11-Sep-16,1.694,1.668,1.752,1.637,-0.02600
4-Sep-16,1.675,1.609,1.678,1.519,-0.06600
28-Aug-16,1.607,1.626,1.626,1.543,0.01900
21-Aug-16,1.628,1.597,1.635,1.527,-0.03100
14-Aug-16,1.58,1.512,1.594,1.498,-0.06800
7-Aug-16,1.51,1.595,1.616,1.48,0.08500
31-Jul-16,1.59,1.463,1.592,1.463,-0.12700
24-Jul-16,1.45,1.571,1.592,1.45,0.12100
17-Jul-16,1.566,1.575,1.628,1.537,0.00900
10-Jul-16,1.558,1.366,1.601,1.358,-0.19200
3-Jul-16,1.358,1.439,1.442,1.321,0.08100
26-Jun-16,1.456,1.507,1.546,1.382,0.05100
19-Jun-16,1.562,1.656,1.749,1.406,0.09400
12-Jun-16,1.611,1.625,1.64,1.518,0.01400
5-Jun-16,1.644,1.704,1.744,1.627,0.06000
29-May-16,1.702,1.86,1.89,1.697,0.15800
22-May-16,1.851,1.838,1.882,1.818,-0.01300
15-May-16,1.844,1.702,1.887,1.7,-0.14200
8-May-16,1.702,1.789,1.793,1.7,0.08700
1-May-16,1.779,1.83,1.874,1.705,0.05100
24-Apr-16,1.835,1.891,1.941,1.81,0.05600
17-Apr-16,1.891,1.726,1.897,1.722,-0.16500
10-Apr-16,1.754,1.732,1.804,1.698,-0.02200
3-Apr-16,1.717,1.765,1.791,1.685,0.04800
27-Mar-16,1.774,1.914,1.918,1.762,0.14000
20-Mar-16,1.9,1.893,1.954,1.852,-0.00700
13-Mar-16,1.877,1.979,2.002,1.854,0.10200
6-Mar-16,1.98,1.879,1.986,1.804,-0.10100
28-Feb-16,1.876,1.757,1.902,1.702,-0.11900
21-Feb-16,1.764,1.748,1.814,1.647,-0.01600
14-Feb-16,1.743,1.772,1.847,1.719,0.02900
7-Feb-16,1.746,1.853,1.87,1.53,0.10700
31-Jan-16,1.843,1.933,1.966,1.793,0.09000
24-Jan-16,1.923,2.059,2.064,1.911,0.13600
17-Jan-16,2.057,2.047,2.089,1.939,-0.01000
10-Jan-16,2.037,2.126,2.2,1.986,0.08900
3-Jan-16,2.116,2.293,2.293,2.112,0.17700
27-Dec-15,2.269,2.253,2.325,2.213,-0.01600
20-Dec-15,2.245,2.204,2.28,2.172,-0.04100
