Date,Close,Open,High,Low,delta
28-May-17,8.565,8.5,8.645,8.49,-0.05
21-May-17,8.515,8.515,8.515,8.515,0.165
14-May-17,8.68,8.68,8.68,8.68,0.05
7-May-17,8.73,8.73,8.73,8.73,0.005
30-Apr-17,8.735,8.735,8.735,8.735,-0.035
23-Apr-17,8.7,8.7,8.7,8.7,-0.055
16-Apr-17,8.645,8.645,8.645,8.645,0.18
9-Apr-17,8.825,8.825,8.825,8.825,0.14
2-Apr-17,8.965,8.965,8.965,8.965,-0.08
26-Mar-17,8.885,8.885,8.885,8.885,-0.52
19-Mar-17,8.365,8.365,8.365,8.365,0.125
12-Mar-17,8.49,8.49,8.49,8.49,0.19
5-Mar-17,8.68,8.68,8.68,8.68,0.05
26-Feb-17,8.73,8.73,8.73,8.73,-0.02
19-Feb-17,8.71,8.71,8.71,8.71,0
12-Feb-17,8.71,8.71,8.71,8.71,0.06
5-Feb-17,8.77,8.77,8.77,8.77,0.05
29-Jan-17,8.82,8.82,8.82,8.82,0.05
22-Jan-17,8.87,8.87,8.87,8.87,-0.15
15-Jan-17,8.72,8.72,8.72,8.72,-0.045
8-Jan-17,8.675,8.675,8.675,8.675,0.115
1-Jan-17,8.79,8.79,8.79,8.79,0.135
25-Dec-16,8.925,8.925,8.925,8.925,0.055
18-Dec-16,8.98,8.98,8.98,8.98,0.035
11-Dec-16,9.015,9.015,9.015,9.015,-0.12
4-Dec-16,8.895,8.895,8.895,8.895,0.13
27-Nov-16,9.025,9.025,9.025,9.025,0.09
20-Nov-16,9.115,9.115,9.115,9.115,-0.14
13-Nov-16,8.975,8.975,8.975,8.975,0.2
6-Nov-16,9.175,9.175,9.175,9.175,-0.48
30-Oct-16,8.695,8.695,8.695,8.695,0.18
23-Oct-16,8.875,8.875,8.875,8.875,-0.045
16-Oct-16,8.83,8.83,8.83,8.83,0.005
9-Oct-16,8.835,8.835,8.835,8.835,-0.14
2-Oct-16,8.695,8.695,8.695,8.695,-0.035
25-Sep-16,8.66,8.66,8.66,8.66,-0.095
18-Sep-16,8.565,8.565,8.565,8.565,0.15
11-Sep-16,8.715,8.715,8.715,8.715,0.04
4-Sep-16,8.755,8.755,8.755,8.755,0.185
28-Aug-16,8.94,8.94,8.94,8.94,0.025
21-Aug-16,8.965,8.965,8.965,8.965,-0.49
14-Aug-16,8.475,8.475,8.475,8.475,-0.045
7-Aug-16,8.43,8.43,8.43,8.43,0.16
31-Jul-16,8.59,8.59,8.59,8.59,0.065
24-Jul-16,8.655,8.655,8.655,8.655,0.155
17-Jul-16,8.81,8.81,8.81,8.81,-0.08
10-Jul-16,8.73,8.73,8.73,8.73,-0.02
3-Jul-16,8.71,8.71,8.71,8.71,-0.015
26-Jun-16,8.695,8.695,8.695,8.695,0.415
19-Jun-16,9.11,9.11,9.11,9.11,-0.05
12-Jun-16,9.06,9.06,9.06,9.06,0.02
5-Jun-16,9.08,9.08,9.08,9.08,0.12
29-May-16,9.2,9.2,9.2,9.2,0.185
22-May-16,9.385,9.385,9.385,9.385,0.005
15-May-16,9.39,9.39,9.39,9.39,-0.19
8-May-16,9.2,9.2,9.2,9.2,-0.07
1-May-16,9.13,9.13,9.13,9.13,-0.155
24-Apr-16,8.975,8.975,8.975,8.975,0.09
17-Apr-16,9.065,9.065,9.065,9.065,-0.045
10-Apr-16,9.02,9.02,9.02,9.02,0.175
3-Apr-16,9.195,9.195,9.195,9.195,-0.07
27-Mar-16,9.125,9.125,9.125,9.125,0.235
20-Mar-16,9.36,9.36,9.36,9.36,-0.075
13-Mar-16,9.285,9.285,9.285,9.285,-0.17
6-Mar-16,9.115,9.115,9.115,9.115,0.18
28-Feb-16,9.295,9.295,9.295,9.295,0.125
21-Feb-16,9.42,9.42,9.42,9.42,-0.245
14-Feb-16,9.175,9.175,9.175,9.175,0.04
7-Feb-16,9.215,9.215,9.215,9.215,-0.045
31-Jan-16,9.17,9.17,9.17,9.17,0.035
24-Jan-16,9.205,9.205,9.205,9.205,0.375
17-Jan-16,9.58,9.58,9.58,9.58,0.185
10-Jan-16,9.765,9.765,9.765,9.765,-0.24
3-Jan-16,9.525,9.525,9.525,9.525,0.245
27-Dec-15,9.77,9.77,9.77,9.77,-0.28
20-Dec-15,9.49,9.49,9.49,9.49,-0.135
13-Dec-15,9.355,9.355,9.355,9.355,1.055
6-Dec-15,10.41,10.41,10.41,10.41,-1.755
29-Nov-15,8.655,8.655,8.655,8.655,-0.095
22-Nov-15,8.56,8.56,8.56,8.56,-0.135
15-Nov-15,8.425,8.425,8.425,8.425,0.215
8-Nov-15,8.64,8.64,8.64,8.64,-0.085
1-Nov-15,8.555,8.555,8.555,8.555,-0.215
25-Oct-15,8.34,8.34,8.34,8.34,0.05
18-Oct-15,8.39,8.39,8.39,8.39,-0.245
