Date,Close,Open,High,Low,delta
28-May-17,0.7442,0.7442,0.7476,0.7373,0.0005
21-May-17,0.7447,0.7451,0.7518,0.7419,0.0014
14-May-17,0.7461,0.7385,0.7471,0.738,-0.0075
7-May-17,0.7386,0.7403,0.7425,0.7326,0.0035
30-Apr-17,0.7421,0.7455,0.7559,0.7365,0.0068
23-Apr-17,0.7489,0.7565,0.7595,0.7437,0.0054
16-Apr-17,0.7543,0.7567,0.7611,0.7488,0.0034
9-Apr-17,0.7577,0.7494,0.76,0.7469,-0.0077
2-Apr-17,0.75,0.7615,0.7645,0.749,0.0129
26-Mar-17,0.7629,0.7614,0.768,0.7584,-0.0006
19-Mar-17,0.7623,0.7699,0.775,0.7601,0.0079
12-Mar-17,0.7702,0.7542,0.7723,0.7527,-0.0160
5-Mar-17,0.7542,0.7579,0.7634,0.7488,0.0053
26-Feb-17,0.7595,0.7666,0.7709,0.754,0.0079
19-Feb-17,0.7674,0.7661,0.7746,0.7645,-0.0003
12-Feb-17,0.7671,0.7675,0.7734,0.7614,0.0005
5-Feb-17,0.7676,0.7666,0.7695,0.7602,0.0007
29-Jan-17,0.7683,0.7536,0.7696,0.7523,-0.0132
22-Jan-17,0.7551,0.7554,0.7613,0.7507,0.0005
15-Jan-17,0.7556,0.7492,0.7591,0.7455,-0.0054
8-Jan-17,0.7502,0.7292,0.7521,0.7284,-0.0204
1-Jan-17,0.7298,0.7225,0.7363,0.716,-0.0082
25-Dec-16,0.7216,0.7163,0.7247,0.7152,-0.0033
18-Dec-16,0.7183,0.7285,0.7315,0.7154,0.0123
11-Dec-16,0.7306,0.7448,0.7526,0.726,0.0147
4-Dec-16,0.7453,0.7447,0.751,0.7408,0.0009
27-Nov-16,0.7462,0.7426,0.75,0.7366,-0.0018
20-Nov-16,0.7444,0.733,0.7482,0.7305,-0.0105
13-Nov-16,0.7339,0.7522,0.7587,0.7325,0.0213
6-Nov-16,0.7552,0.767,0.778,0.7519,0.0121
30-Oct-16,0.7673,0.759,0.7699,0.7575,-0.0073
23-Oct-16,0.76,0.7595,0.7713,0.7555,0.0007
16-Oct-16,0.7607,0.7609,0.7739,0.7578,0.0014
9-Oct-16,0.7621,0.7576,0.7657,0.7504,-0.0044
2-Oct-16,0.7577,0.7653,0.7693,0.755,0.0087
25-Sep-16,0.7664,0.7616,0.772,0.7587,-0.0043
18-Sep-16,0.7621,0.7484,0.7678,0.7469,-0.0131
11-Sep-16,0.749,0.7539,0.757,0.7439,0.0051
4-Sep-16,0.7541,0.7561,0.7735,0.7533,0.0031
28-Aug-16,0.7572,0.7555,0.7618,0.7488,-0.0008
21-Aug-16,0.7564,0.7606,0.7692,0.7547,0.0064
14-Aug-16,0.7628,0.7646,0.7754,0.7596,0.0019
7-Aug-16,0.7647,0.7612,0.7757,0.7594,-0.0027
31-Jul-16,0.762,0.7589,0.7664,0.7495,-0.0023
24-Jul-16,0.7597,0.7459,0.7612,0.7417,-0.0131
17-Jul-16,0.7466,0.7575,0.7611,0.7439,0.0112
