Date,Close,Open,High,Low,delta
28-May-17,1.128,1.1172,1.1285,1.111,-0.0097
21-May-17,1.1183,1.12,1.1268,1.1158,0.0024
14-May-17,1.1207,1.0924,1.1214,1.092,-0.0276
7-May-17,1.0931,1.0996,1.1025,1.0838,0.0067
30-Apr-17,1.0998,1.0905,1.1002,1.0873,-0.0101
23-Apr-17,1.0897,1.0889,1.0952,1.0819,-0.0169
16-Apr-17,1.0728,1.0612,1.0779,1.06,-0.0116
9-Apr-17,1.0612,1.059,1.0679,1.0568,-0.0022
2-Apr-17,1.059,1.0658,1.0691,1.0578,0.0062
26-Mar-17,1.0652,1.0796,1.0907,1.0649,0.0147
19-Mar-17,1.0799,1.0738,1.0827,1.0717,-0.0061
12-Mar-17,1.0738,1.0671,1.0784,1.0597,-0.0066
5-Mar-17,1.0672,1.0614,1.0702,1.0523,-0.0049
26-Feb-17,1.0623,1.056,1.0633,1.0492,-0.006
19-Feb-17,1.0563,1.0614,1.0636,1.0492,0.0051
12-Feb-17,1.0614,1.0632,1.0683,1.052,0.0027
5-Feb-17,1.0641,1.078,1.0803,1.0606,0.0143
29-Jan-17,1.0784,1.0689,1.0831,1.0617,-0.0085
22-Jan-17,1.0699,1.0683,1.0779,1.0655,0.0004
15-Jan-17,1.0703,1.0615,1.0722,1.0577,-0.0059
8-Jan-17,1.0644,1.0537,1.0687,1.0452,-0.0111
1-Jan-17,1.0533,1.0529,1.0624,1.0339,-0.0017
25-Dec-16,1.0516,1.0451,1.0654,1.0369,-0.006
18-Dec-16,1.0456,1.0442,1.0501,1.035,-0.0005
11-Dec-16,1.0451,1.055,1.0673,1.0364,0.0111
4-Dec-16,1.0562,1.0672,1.0875,1.0503,0.0111
27-Nov-16,1.0673,1.0594,1.0692,1.0551,-0.0086
20-Nov-16,1.0587,1.0581,1.0661,1.0515,0.0001
13-Nov-16,1.0588,1.0847,1.0852,1.0567,0.0268
6-Nov-16,1.0856,1.1134,1.1305,1.0827,0.0282
30-Oct-16,1.1138,1.0984,1.1146,1.0934,-0.0151
23-Oct-16,1.0987,1.0876,1.0995,1.0848,-0.0103
16-Oct-16,1.0884,1.0972,1.1041,1.0857,0.0087
9-Oct-16,1.0971,1.1195,1.1203,1.0966,0.023
2-Oct-16,1.1201,1.1233,1.1245,1.1101,0.004
25-Sep-16,1.1241,1.1221,1.1281,1.115,-0.0015
18-Sep-16,1.1226,1.116,1.1261,1.1119,-0.0071
11-Sep-16,1.1155,1.123,1.1285,1.1145,0.0078
4-Sep-16,1.1233,1.1149,1.1329,1.1137,-0.0077
28-Aug-16,1.1156,1.1191,1.1254,1.1121,0.0042
21-Aug-16,1.1198,1.1302,1.1357,1.1177,0.0128
14-Aug-16,1.1326,1.1161,1.1366,1.1152,-0.0165
7-Aug-16,1.1161,1.1085,1.1224,1.1067,-0.0076
31-Jul-16,1.1085,1.1173,1.1234,1.1043,0.0089
24-Jul-16,1.1174,1.0968,1.12,1.095,-0.0198
17-Jul-16,1.0976,1.104,1.1087,1.0951,0.006
10-Jul-16,1.1036,1.105,1.1166,1.1014,0.0019
3-Jul-16,1.1055,1.114,1.1185,1.0999,0.0081
26-Jun-16,1.1136,1.1068,1.1169,1.0968,-0.0019
19-Jun-16,1.1117,1.1281,1.1434,1.0909,0.016
12-Jun-16,1.1277,1.1251,1.1305,1.1129,-0.0026
5-Jun-16,1.1251,1.1349,1.1417,1.1243,0.0116
29-May-16,1.1367,1.1114,1.1377,1.1096,-0.0252
22-May-16,1.1115,1.1215,1.1244,1.1106,0.0109
15-May-16,1.1224,1.1307,1.1349,1.1178,0.0084
8-May-16,1.1308,1.1399,1.1449,1.1281,0.0097
1-May-16,1.1405,1.1444,1.1617,1.1384,0.0051
24-Apr-16,1.1456,1.1228,1.1461,1.1213,-0.0222
17-Apr-16,1.1234,1.1295,1.1398,1.1216,0.0049
10-Apr-16,1.1283,1.1405,1.1467,1.1232,0.0118
3-Apr-16,1.1401,1.1391,1.1456,1.1325,-0.0014
27-Mar-16,1.1387,1.1161,1.1439,1.1151,-0.0221
20-Mar-16,1.1166,1.1268,1.1287,1.1142,0.0104
13-Mar-16,1.127,1.1149,1.1345,1.1055,-0.0117
6-Mar-16,1.1153,1.1006,1.122,1.082,-0.0149
28-Feb-16,1.1004,1.093,1.1045,1.0823,-0.007
21-Feb-16,1.0934,1.1125,1.1137,1.091,0.0201
14-Feb-16,1.1135,1.1249,1.1254,1.1064,0.0125
7-Feb-16,1.126,1.1156,1.1378,1.1084,-0.0101
31-Jan-16,1.1159,1.0831,1.1246,1.0812,-0.0322
24-Jan-16,1.0837,1.0797,1.097,1.0786,-0.004
17-Jan-16,1.0797,1.0916,1.0978,1.0777,0.012
10-Jan-16,1.0917,1.0922,1.0987,1.0803,0.0015
3-Jan-16,1.0932,1.0856,1.0949,1.0709,-0.0072
27-Dec-15,1.086,1.0962,1.0994,1.0843,0.0117
20-Dec-15,1.0977,1.0861,1.0988,1.0846,-0.0109
13-Dec-15,1.0868,1.0983,1.1062,1.0799,0.0122
6-Dec-15,1.099,1.0858,1.1043,1.0794,-0.0104
29-Nov-15,1.0886,1.0589,1.0982,1.0538,-0.0293
22-Nov-15,1.0593,1.0645,1.0692,1.0565,0.0053
15-Nov-15,1.0646,1.0749,1.0781,1.0615,0.0133
8-Nov-15,1.0779,1.0735,1.0831,1.0673,-0.0038
1-Nov-15,1.0741,1.1013,1.1054,1.0706,0.0264
25-Oct-15,1.1005,1.1007,1.1096,1.0894,0.0013
18-Oct-15,1.1018,1.1349,1.1389,1.0993,0.0328
11-Oct-15,1.1346,1.1354,1.1496,1.1333,0.0012
4-Oct-15,1.1358,1.1219,1.1391,1.117,-0.0147
27-Sep-15,1.1211,1.1193,1.1319,1.1133,-0.0016
20-Sep-15,1.1195,1.1281,1.1329,1.1103,0.011
13-Sep-15,1.1305,1.1335,1.146,1.1212,0.0035
6-Sep-15,1.134,1.1157,1.1349,1.112,-0.0193
30-Aug-15,1.1147,1.1173,1.1332,1.1086,0.0032
23-Aug-15,1.1179,1.1361,1.1711,1.1155,0.021
16-Aug-15,1.1389,1.1105,1.1394,1.1015,-0.0283
9-Aug-15,1.1106,1.0966,1.1213,1.0924,-0.0137
2-Aug-15,1.0969,1.0968,1.0998,1.0847,0.0019
26-Jul-15,1.0988,1.0971,1.1129,1.0892,-0.0004
19-Jul-15,1.0984,1.0831,1.102,1.0808,-0.0154
12-Jul-15,1.083,1.1105,1.1198,1.0826,0.0334
5-Jul-15,1.1164,1.0991,1.1218,1.0915,-0.005
28-Jun-15,1.1114,1.103,1.128,1.0953,0.0052
21-Jun-15,1.1166,1.1362,1.1412,1.1129,0.0187
14-Jun-15,1.1353,1.1225,1.1437,1.1188,-0.0084
7-Jun-15,1.1269,1.1112,1.1385,1.108,-0.0156
