Date,Close,Open,High,Low,delta
28-May-17,1.2887,1.2807,1.2921,1.277,-0.0083
21-May-17,1.2804,1.3005,1.3043,1.2772,0.0231
14-May-17,1.3035,1.2887,1.3049,1.2864,-0.0144
7-May-17,1.2891,1.2979,1.2991,1.2842,0.0090
30-Apr-17,1.2981,1.295,1.2985,1.2829,-0.0030
23-Apr-17,1.2951,1.2841,1.297,1.2769,-0.0138
16-Apr-17,1.2813,1.2528,1.2905,1.2513,-0.0289
9-Apr-17,1.2524,1.2379,1.2576,1.2362,-0.0151
2-Apr-17,1.2373,1.2539,1.2556,1.2361,0.0177
26-Mar-17,1.255,1.2483,1.262,1.2375,-0.0080
19-Mar-17,1.247,1.2398,1.2532,1.2333,-0.0076
12-Mar-17,1.2394,1.2161,1.2406,1.2106,-0.0223
5-Mar-17,1.2171,1.2293,1.2303,1.2134,0.0124
26-Feb-17,1.2295,1.2465,1.2489,1.2212,0.0173
19-Feb-17,1.2468,1.2409,1.2572,1.2397,-0.0054
12-Feb-17,1.2414,1.2473,1.255,1.2379,0.0077
5-Feb-17,1.2491,1.2491,1.2585,1.2344,-0.0003
29-Jan-17,1.2488,1.2548,1.271,1.241,0.0067
22-Jan-17,1.2555,1.2358,1.2682,1.2352,-0.0180
15-Jan-17,1.2375,1.2058,1.2416,1.1979,-0.0196
8-Jan-17,1.2179,1.2266,1.2318,1.2036,0.0108
1-Jan-17,1.2287,1.2344,1.2438,1.2198,0.0051
25-Dec-16,1.2338,1.2262,1.2389,1.2197,-0.0046
18-Dec-16,1.2292,1.2491,1.2505,1.2226,0.0205
11-Dec-16,1.2497,1.257,1.2737,1.2372,0.0079
4-Dec-16,1.2576,1.2725,1.2776,1.2545,0.0153
27-Nov-16,1.2729,1.2468,1.2747,1.2382,-0.0253
20-Nov-16,1.2476,1.2344,1.2514,1.2308,-0.0130
13-Nov-16,1.2346,1.2591,1.2614,1.2297,0.0256
6-Nov-16,1.2602,1.2511,1.2675,1.2349,-0.0083
30-Oct-16,1.2519,1.2177,1.2559,1.2141,-0.0334
23-Oct-16,1.2185,1.222,1.2275,1.2081,0.0050
16-Oct-16,1.2235,1.2186,1.2331,1.2134,-0.0048
9-Oct-16,1.2187,1.243,1.245,1.2086,0.0247
2-Oct-16,1.2434,1.2938,1.2948,1.145,0.0542
25-Sep-16,1.2976,1.2951,1.3059,1.2914,-0.0002
18-Sep-16,1.2974,1.2993,1.3121,1.2912,0.0027
11-Sep-16,1.3001,1.3268,1.3353,1.2992,0.0266
4-Sep-16,1.3267,1.3295,1.345,1.3237,0.0026
28-Aug-16,1.3293,1.3132,1.3356,1.3056,-0.0154
21-Aug-16,1.3139,1.3058,1.3281,1.3026,-0.0064
14-Aug-16,1.3075,1.2919,1.3186,1.2863,-0.0152
7-Aug-16,1.2923,1.3055,1.3101,1.29,0.0150
31-Jul-16,1.3073,1.3229,1.3376,1.3019,0.0158
24-Jul-16,1.3231,1.3111,1.3305,1.3055,-0.0120
17-Jul-16,1.3111,1.3167,1.3316,1.3061,0.0082
10-Jul-16,1.3193,1.2949,1.3481,1.2849,-0.0237
3-Jul-16,1.2956,1.3246,1.3341,1.2796,0.0306
26-Jun-16,1.3262,1.3563,1.3564,1.3118,0.0418
19-Jun-16,1.368,1.4349,1.502,1.3224,0.0678
12-Jun-16,1.4358,1.4256,1.4388,1.401,-0.0100
5-Jun-16,1.4258,1.4513,1.4645,1.4177,0.0262
29-May-16,1.452,1.4623,1.4724,1.4384,0.0105
22-May-16,1.4625,1.4503,1.4743,1.444,-0.0124
15-May-16,1.4501,1.4347,1.4662,1.433,-0.0139
8-May-16,1.4362,1.4428,1.453,1.4338,0.0068
1-May-16,1.443,1.4609,1.4771,1.4411,0.0183
24-Apr-16,1.4613,1.4412,1.4671,1.44,-0.0210
17-Apr-16,1.4403,1.422,1.4451,1.4129,-0.0208
10-Apr-16,1.4195,1.4122,1.4348,1.4088,-0.0069
3-Apr-16,1.4126,1.4218,1.4325,1.4004,0.0100
27-Mar-16,1.4226,1.4127,1.4465,1.4116,-0.0083
20-Mar-16,1.4143,1.4479,1.448,1.4055,0.0338
