Date,Close,Open,High,Low,delta
28-May-17,0.7145,0.7054,0.7147,0.7036,-0.008
21-May-17,0.7062,0.6926,0.7078,0.691,-0.014
14-May-17,0.6927,0.6846,0.6952,0.6837,-0.006
7-May-17,0.6864,0.6912,0.6953,0.6816,0.005
30-Apr-17,0.6917,0.6866,0.697,0.6837,-0.005
23-Apr-17,0.6868,0.7022,0.7055,0.6845,0.017
16-Apr-17,0.7033,0.6989,0.7054,0.6982,-0.003
9-Apr-17,0.6999,0.694,0.7017,0.6905,-0.006
2-Apr-17,0.6936,0.7012,0.7023,0.6926,0.007
26-Mar-17,0.7007,0.7019,0.7069,0.6974,0.002
19-Mar-17,0.7029,0.702,0.7092,0.6991,-0.001
12-Mar-17,0.7016,0.6921,0.7055,0.6891,-0.009
5-Mar-17,0.6922,0.7024,0.7048,0.6887,0.012
26-Feb-17,0.7042,0.7192,0.7245,0.6997,0.016
19-Feb-17,0.7204,0.7182,0.7251,0.7127,-0.001
12-Feb-17,0.7195,0.7186,0.7256,0.7132,0.000
5-Feb-17,0.7199,0.731,0.7379,0.7172,0.012
29-Jan-17,0.7316,0.7267,0.735,0.7234,-0.005
22-Jan-17,0.7265,0.7157,0.7321,0.7145,-0.010
15-Jan-17,0.7169,0.7098,0.7232,0.7074,-0.004
8-Jan-17,0.7131,0.6954,0.7154,0.6948,-0.017
1-Jan-17,0.6959,0.6934,0.7047,0.6883,-0.001
25-Dec-16,0.6947,0.6878,0.6983,0.6869,-0.007
18-Dec-16,0.6881,0.6955,0.6993,0.6859,0.009
11-Dec-16,0.697,0.7141,0.7251,0.6927,0.016
4-Dec-16,0.7134,0.7119,0.7226,0.7065,0.000
27-Nov-16,0.7137,0.7031,0.7181,0.702,-0.009
20-Nov-16,0.7043,0.7013,0.7087,0.6968,-0.003
13-Nov-16,0.7017,0.7108,0.7147,0.6996,0.010
6-Nov-16,0.7119,0.7317,0.7406,0.7104,0.021
30-Oct-16,0.7327,0.7148,0.7344,0.7135,-0.016
23-Oct-16,0.7163,0.7152,0.7187,0.7104,0.000
16-Oct-16,0.7166,0.7082,0.7267,0.7076,-0.008
9-Oct-16,0.7085,0.7158,0.719,0.7032,0.008
2-Oct-16,0.7162,0.7256,0.7314,0.7107,0.013
25-Sep-16,0.7287,0.7245,0.7336,0.722,-0.005
18-Sep-16,0.7241,0.7265,0.7375,0.722,0.003
11-Sep-16,0.7269,0.732,0.7378,0.7231,0.006
4-Sep-16,0.7328,0.7295,0.7489,0.7269,-0.003
28-Aug-16,0.7303,0.722,0.7361,0.7199,-0.006
21-Aug-16,0.724,0.7247,0.7381,0.7208,0.004
14-Aug-16,0.7281,0.7195,0.7326,0.7164,-0.008
7-Aug-16,0.7197,0.7137,0.7349,0.7086,-0.005
31-Jul-16,0.7145,0.72,0.7259,0.712,0.006
24-Jul-16,0.7208,0.6999,0.7234,0.6955,-0.021
17-Jul-16,0.7001,0.7118,0.7157,0.6949,0.011
10-Jul-16,0.7111,0.73,0.7326,0.7101,0.020
3-Jul-16,0.7308,0.7148,0.731,0.7078,-0.013
26-Jun-16,0.7181,0.7096,0.7211,0.6976,-0.005
19-Jun-16,0.7134,0.7048,0.7304,0.6976,-0.008
12-Jun-16,0.7054,0.7057,0.7096,0.6962,0.000
5-Jun-16,0.7059,0.6953,0.715,0.6891,-0.010
29-May-16,0.6958,0.6691,0.6964,0.6674,-0.026
22-May-16,0.6697,0.6755,0.6813,0.6682,0.007
15-May-16,0.6771,0.6768,0.6851,0.6708,0.000
8-May-16,0.6768,0.6813,0.6853,0.6713,0.007
1-May-16,0.684,0.6971,0.7057,0.6806,0.014
