Date,Close,Open,High,Low,delta
28-May-17,1.3494,1.3449,1.3548,1.3428,-0.005
21-May-17,1.3446,1.3518,1.3542,1.3385,0.007
14-May-17,1.3514,1.3694,1.3723,1.3507,0.020
7-May-17,1.371,1.3663,1.3772,1.364,-0.006
30-Apr-17,1.3652,1.3653,1.3795,1.3634,0.000
23-Apr-17,1.3652,1.3496,1.3699,1.3408,-0.015
16-Apr-17,1.3499,1.3321,1.3526,1.326,-0.017
9-Apr-17,1.3326,1.34,1.3428,1.322,0.008
2-Apr-17,1.3406,1.3302,1.3457,1.3298,-0.009
26-Mar-17,1.3313,1.3375,1.3416,1.3275,0.007
19-Mar-17,1.3379,1.3343,1.341,1.3262,-0.003
12-Mar-17,1.335,1.3455,1.3496,1.3274,0.012
5-Mar-17,1.3471,1.3373,1.3536,1.3369,-0.009
26-Feb-17,1.3377,1.3102,1.3438,1.3081,-0.029
19-Feb-17,1.3091,1.3103,1.321,1.3054,0.001
12-Feb-17,1.3099,1.3088,1.3127,1.3007,-0.002
5-Feb-17,1.3081,1.3022,1.3216,1.3004,-0.006
29-Jan-17,1.3023,1.3146,1.317,1.2967,0.013
22-Jan-17,1.3153,1.3322,1.3337,1.3051,0.017
15-Jan-17,1.3322,1.3109,1.3388,1.3016,-0.021
8-Jan-17,1.3113,1.3235,1.3296,1.3028,0.012
1-Jan-17,1.3236,1.3436,1.3461,1.3174,0.020
25-Dec-16,1.3433,1.3528,1.36,1.3399,0.010
18-Dec-16,1.3536,1.3338,1.3558,1.3315,-0.020
11-Dec-16,1.3336,1.315,1.3421,1.3078,-0.016
4-Dec-16,1.3179,1.3293,1.3359,1.3148,0.011
27-Nov-16,1.3294,1.3518,1.3539,1.3251,0.024
20-Nov-16,1.353,1.3498,1.3537,1.3374,-0.003
13-Nov-16,1.3501,1.3522,1.359,1.3397,0.004
6-Nov-16,1.3543,1.3403,1.3551,1.326,-0.014
30-Oct-16,1.3404,1.3393,1.3466,1.3349,-0.001
23-Oct-16,1.3398,1.3331,1.3433,1.3273,-0.007
16-Oct-16,1.3333,1.3137,1.3356,1.3002,-0.019
9-Oct-16,1.314,1.3278,1.3308,1.3101,0.016
2-Oct-16,1.3298,1.3132,1.3314,1.3065,-0.017
25-Sep-16,1.3129,1.3165,1.3282,1.3044,0.004
18-Sep-16,1.3168,1.3208,1.3243,1.2996,0.004
11-Sep-16,1.3209,1.3042,1.3249,1.3025,-0.016
4-Sep-16,1.3048,1.2991,1.3054,1.2818,-0.005
28-Aug-16,1.2998,1.2994,1.3149,1.2971,0.000
21-Aug-16,1.3003,1.2868,1.3012,1.2828,-0.013
14-Aug-16,1.2872,1.2952,1.2976,1.2759,0.008
7-Aug-16,1.2948,1.3175,1.3191,1.292,0.022
31-Jul-16,1.3168,1.3026,1.3202,1.2993,-0.014
24-Jul-16,1.303,1.3138,1.3253,1.2998,0.010
17-Jul-16,1.3126,1.2945,1.3186,1.2923,-0.016
10-Jul-16,1.2971,1.3044,1.314,1.2857,0.007
3-Jul-16,1.3044,1.2913,1.3091,1.2827,-0.013
