Date,Close,Open,High,Low,delta
28-May-17,110.3900,111.2600,111.7200,110.3300,0.9500
21-May-17,111.3400,111.3000,112.1400,110.8400,-0.0600
14-May-17,111.2800,113.1800,113.8600,110.2100,2.0600
7-May-17,113.3400,112.9700,114.3800,112.3600,-0.6200
30-Apr-17,112.7200,111.2900,113.0600,111.1800,-1.1700
23-Apr-17,111.5500,110.2400,111.7800,109.5700,-2.4700
16-Apr-17,109.0800,108.6600,109.5000,108.1100,-0.4400
9-Apr-17,108.6400,111.0900,111.6000,108.5200,2.4300
2-Apr-17,111.0700,111.3800,111.6000,110.1100,0.3200
26-Mar-17,111.3900,111.2200,112.2000,110.0900,-0.0500
19-Mar-17,111.3400,112.6900,112.9100,110.6000,1.3800
12-Mar-17,112.7200,114.8000,115.2000,112.5300,2.0300
5-Mar-17,114.7500,114.0000,115.5100,113.5300,-0.7300
26-Feb-17,114.0200,112.0700,114.7700,111.6700,-1.8300
19-Feb-17,112.1900,112.8300,113.7800,111.9100,0.6900
12-Feb-17,112.8800,113.3100,114.9700,112.5800,0.3400
5-Feb-17,113.2200,112.3900,113.8800,111.5700,-0.5200
29-Jan-17,112.7000,115.0800,115.1400,112.0300,2.3800
22-Jan-17,115.0800,114.3500,115.3900,112.4900,-0.4600
15-Jan-17,114.6200,114.5300,115.6400,112.5500,-0.0900
8-Jan-17,114.5300,116.8900,117.5400,113.7300,2.3900
1-Jan-17,116.9200,116.9100,118.6100,115.0400,-0.0300
25-Dec-16,116.8900,117.3600,117.8300,116.0200,0.4600
18-Dec-16,117.3500,117.8700,118.2800,116.5200,0.6400
11-Dec-16,117.9900,115.2200,118.6700,114.7100,-2.5900
4-Dec-16,115.4000,113.5200,115.4000,112.8400,-1.8200
27-Nov-16,113.5800,113.0300,114.8600,111.3200,-0.5000
20-Nov-16,113.0800,110.8900,113.9100,110.2300,-2.1300
13-Nov-16,110.9500,106.5300,110.9800,106.5100,-4.2700
6-Nov-16,106.6800,103.1200,106.9500,101.1500,-3.5400
30-Oct-16,103.1400,104.6800,105.2400,102.5400,1.5600
23-Oct-16,104.7000,103.8400,105.5500,103.6900,-0.8700
