Date,Open,High,Low,Close
1984-01-13,1.3784,1.3784,1.3784,1.3784
1984-01-20,1.4028,1.4028,1.4028,1.4028
1984-01-27,1.3875,1.3875,1.3875,1.3875
1984-02-03,1.3967,1.3967,1.3967,1.3967
1984-02-10,1.4025,1.4025,1.4025,1.4025
1984-02-17,1.4011,1.4011,1.4011,1.4011
1984-02-24,1.4329,1.4329,1.4329,1.4329
1984-03-02,1.4175,1.4175,1.4175,1.4175
1984-03-09,1.4244,1.4244,1.4244,1.4244
1984-03-16,1.4363,1.4363,1.4363,1.4363
1984-03-23,1.4532,1.4532,1.4532,1.4532
1984-03-30,1.4433,1.4433,1.4433,1.4433
1984-04-06,1.425,1.425,1.425,1.425
1984-04-13,1.4323,1.4323,1.4323,1.4323
1984-04-20,1.4003,1.4003,1.4003,1.4003
1984-04-27,1.3996,1.3996,1.3996,1.3996
1984-05-04,1.4053,1.4053,1.4053,1.4053
1984-05-11,1.4229,1.4229,1.4229,1.4229
1984-05-18,1.4202,1.4202,1.4202,1.4202
1984-05-25,1.3921,1.3921,1.3921,1.3921
1984-06-01,1.3951,1.3951,1.3951,1.3951
1984-06-08,1.3782,1.3782,1.3782,1.3782
1984-06-15,1.392,1.392,1.392,1.392
1984-06-22,1.3923,1.3923,1.3923,1.3923
1984-06-29,1.4031,1.4031,1.4031,1.4031
1984-07-06,1.365,1.365,1.365,1.365
1984-07-13,1.3852,1.3852,1.3852,1.3852
1984-07-20,1.3452,1.3452,1.3452,1.3452
1984-07-27,1.6832,1.6832,1.6832,1.6832
1984-08-03,1.6633,1.6633,1.6633,1.6633
1984-08-10,1.6665,1.6665,1.6665,1.6665
1984-08-17,1.6934,1.6934,1.6934,1.6934
1984-08-24,1.6816,1.6816,1.6816,1.6816
1984-08-31,1.7065,1.7083,1.7065,1.7083
1984-09-14,1.7071,1.7071,1.7071,1.7071
1984-09-21,1.7061,1.7061,1.7061,1.7061
1984-09-28,1.6935,1.6935,1.6935,1.6935
1984-10-05,1.6974,1.6974,1.6974,1.6974
1984-10-12,1.7133,1.7133,1.7133,1.7133
1984-10-19,1.7242,1.7242,1.7242,1.7242
1984-10-26,1.713,1.713,1.713,1.713
1984-11-02,1.7194,1.7194,1.7194,1.7194
1984-11-09,1.7042,1.7042,1.7042,1.7042
1984-11-16,1.7396,1.7396,1.7396,1.7396
1984-11-23,1.7472,1.7472,1.7472,1.7472
1984-11-30,1.7571,1.7571,1.7467,1.7467
1984-12-14,1.7653,1.7653,1.7653,1.7653
1984-12-21,1.7473,1.7473,1.7473,1.7473
1984-12-28,1.7423,1.7423,1.7423,1.7423
1985-01-04,1.7406,1.7406,1.7406,1.7406
1985-01-11,1.7406,1.7406,1.7406,1.7406
1985-01-18,1.7444,1.7444,1.7444,1.7444
1985-01-25,1.7425,1.7425,1.7425,1.7425
1985-02-01,1.7386,1.7386,1.7386,1.7386
1985-02-08,1.7602,1.7602,1.7602,1.7602
1985-02-15,1.7111,1.7111,1.7111,1.7111
1985-02-22,1.647,1.647,1.647,1.647
1985-03-01,1.5992,1.5992,1.5992,1.5992
1985-03-08,1.6651,1.6651,1.6651,1.6651
1985-03-15,1.4294,1.4294,1.4294,1.4294
1985-03-22,1.5652,1.5652,1.5652,1.5652
1985-03-29,1.5277,1.5277,1.4998,1.4998
1985-04-05,1.5348,1.5348,1.5348,1.5348
1985-04-12,1.4637,1.4637,1.4637,1.4637
1985-04-19,1.4557,1.4557,1.4557,1.4557
1985-04-26,1.4666,1.4666,1.4666,1.4666
1985-05-03,1.432,1.432,1.432,1.432
1985-05-10,1.441,1.441,1.441,1.441
1985-05-17,1.4664,1.4664,1.4664,1.4664
