Date,Open,High,Low,Close
1971-03-05,1.1231,1.1245,1.1231,1.1241
1971-03-12,1.1245,1.1245,1.1243,1.1245
1971-03-19,1.1245,1.1246,1.1241,1.1244
1971-03-26,1.1245,1.1246,1.1241,1.1243
1971-04-02,1.1246,1.1246,1.1213,1.1213
1971-04-09,1.123,1.1243,1.123,1.1233
1971-04-16,1.1234,1.1242,1.1233,1.1242
1971-04-23,1.1245,1.1246,1.1242,1.1243
1971-04-30,1.1243,1.1246,1.1243,1.1245
1971-05-07,1.1243,1.1246,1.1242,1.1243
1971-05-14,1.1236,1.1242,1.1235,1.1242
1971-05-21,1.1245,1.1246,1.1244,1.1246
1971-05-28,1.1246,1.1246,1.1238,1.1238
1971-06-04,1.1231,1.1244,1.1231,1.1244
1971-06-11,1.1245,1.1246,1.1243,1.1246
1971-06-18,1.1242,1.1245,1.1242,1.1244
1971-06-25,1.1244,1.1246,1.1244,1.1244
1971-07-02,1.1242,1.1246,1.1242,1.1243
1971-07-09,1.124,1.1242,1.124,1.1241
1971-07-16,1.124,1.1243,1.1239,1.1243
1971-07-23,1.124,1.1244,1.124,1.1243
1971-07-30,1.1239,1.1241,1.1238,1.1241
1971-08-06,1.1237,1.1245,1.1235,1.1241
1971-08-13,1.1245,1.1247,1.1242,1.1246
1971-08-27,1.1318,1.1492,1.1318,1.1478
1971-09-03,1.1471,1.1471,1.1406,1.1432
1971-09-10,1.1427,1.1431,1.1427,1.1431
1971-09-17,1.1435,1.149,1.1435,1.149
1971-09-24,1.15,1.1539,1.1496,1.1539
1971-10-01,1.153,1.157,1.1518,1.157
1971-10-08,1.1569,1.1574,1.1567,1.1574
1971-10-15,1.1572,1.1572,1.1569,1.1569
1971-10-22,1.1571,1.1586,1.1571,1.1586
1971-10-29,1.1592,1.1595,1.158,1.158
1971-11-05,1.1586,1.159,1.1586,1.159
1971-11-12,1.1588,1.1591,1.1586,1.1591
1971-11-19,1.1588,1.1592,1.1587,1.1592
1971-11-26,1.1591,1.1592,1.159,1.1591
1971-12-03,1.1592,1.1613,1.1588,1.1613
1971-12-10,1.161,1.1704,1.161,1.1704
1971-12-17,1.1708,1.1756,1.1708,1.1756
1971-12-24,1.1871,1.1871,1.1864,1.1871
1971-12-31,1.1882,1.1888,1.1879,1.1887
1972-01-07,1.191,1.191,1.19,1.1905
1972-01-14,1.1905,1.193,1.19,1.193
1972-01-21,1.192,1.192,1.188,1.191
1972-01-28,1.1915,1.1915,1.191,1.191
1972-02-04,1.191,1.191,1.191,1.191
1972-02-11,1.191,1.191,1.191,1.191
1972-02-18,1.191,1.191,1.191,1.191
1972-02-25,1.191,1.191,1.191,1.191
1972-03-03,1.191,1.191,1.191,1.191
