Date,Open,High,Low,Close
1971-01-08,856.35,857.95,856.35,857.95
1971-01-15,858.87,862.85,858.87,862.3
1971-01-22,861.61,863.21,861.61,862.79
1971-01-29,863.78,864.63,863.78,864.63
1971-02-05,865.04,865.04,863.4,863.4
1971-02-12,864.48,864.48,863.15,863.73
1971-02-19,865.09,865.09,864.61,864.79
1971-02-26,864.97,864.97,863.78,863.78
1971-03-05,863.91,864.96,863.91,864.96
1971-03-12,865.18,865.37,864.57,865.37
1971-03-19,865.28,865.28,864.23,865.09
1971-03-26,864.82,865.18,864.73,864.82
1971-04-02,864.59,864.59,862.6,862.6
1971-04-09,863.74,864.61,863.74,863.95
1971-04-16,864.07,864.67,864.07,864.61
1971-04-23,864.84,864.84,864.62,864.62
1971-04-30,864.5,864.91,864.5,864.76
1971-05-07,864.48,864.52,864.18,864.45
1971-05-14,863.29,864.67,863.29,864.67
1971-05-21,864.58,865.06,864.35,864.35
1971-05-28,864.58,864.67,864.19,864.19
1971-06-04,863.62,864.7,863.62,864.45
1971-06-11,864.86,864.9,864.37,864.66
1971-06-18,864.38,864.87,864.36,864.36
1971-06-25,864.32,864.64,864.32,864.39
1971-07-02,864.51,864.71,864.5,864.57
1971-07-09,864.15,864.58,864.15,864.24
1971-07-16,864.24,864.5,864.08,864.5
1971-07-23,864.21,864.63,864.15,864.42
1971-07-30,863.98,864.65,863.98,864.18
1971-08-06,863.96,864.55,863.88,864.19
1971-08-13,864.59,864.72,864.52,864.56
1971-08-20,864.64,864.86,864.57,864.57
1971-08-27,872.68,887.35,872.68,886.61
1971-09-03,886.96,886.96,832.98,836.31
1971-09-10,835.17,835.17,833.12,833.12
1971-09-17,834.03,836.22,834.03,835.41
1971-09-24,834.36,836.46,834.34,836.44
1971-10-01,833.97,833.97,829.83,829.83
1971-10-08,829.05,829.35,824.28,824.28
1971-10-15,822.92,824.71,820.89,822.86
1971-10-22,820.45,824.67,820.45,823.43
1971-10-29,820.36,822.13,820.36,821.2
1971-11-05,821.27,824.84,820.84,820.84
1971-11-12,820.73,821.83,820.24,821.83
1971-11-19,819.46,820.02,818.85,818.85
1971-11-26,819.16,819.16,816.84,816.84
1971-12-03,815.45,816.98,812.44,812.44
1971-12-10,815.48,815.48,809.43,813.54
1971-12-17,812.94,812.94,806.48,810.05
1971-12-24,810.22,810.22,802.82,803.07
1971-12-31,802.31,804.54,802.23,804.19
1972-01-07,803.55,803.55,795.6,797.01
1972-01-14,798.13,805.17,798.13,805.17
1972-01-21,810.08,810.08,805.41,806.61
1972-01-28,807.75,807.75,803.16,804.69
1972-02-04,805.34,807.05,802.35,802.35
1972-02-11,802.18,802.18,793.95,793.95
1972-02-18,789.57,791.78,788.9,790.72
1972-02-25,788.97,788.97,787.51,787.97
1972-03-03,792.03,792.03,789.15,789.15
1972-03-10,790.44,797.39,790.44,797.26
1972-03-17,797.73,797.73,788.64,788.64
1972-03-24,789.17,790.56,787.8,787.8
1972-03-31,790.1,796.13,790.1,796.13
1972-04-07,795.5,797.11,790.92,790.92
1972-04-14,787.91,790.39,787.91,790.39
1972-04-21,789.29,790.96,788.26,790.96
1972-04-28,796.77,796.77,793.19,795.87
1972-05-05,794.77,794.77,794.04,794.42
1972-05-12,796.25,797.19,793.15,793.99
1972-05-19,794.84,796.04,794.5,794.5
1972-05-26,795.36,795.36,794.68,795.36
1972-06-02,797.83,797.83,794.6,794.6
1972-06-09,795.83,795.83,794.39,794.65
1972-06-16,793.78,793.78,787.71,787.71
1972-06-23,787.48,787.48,735.19,735.19
1972-06-30,751.99,751.99,734.54,734.54
1972-07-07,728.35,733.9,728.35,733.9
1972-07-14,735.66,738.53,735.66,736.74
1972-07-21,735.9,737.89,735.01,737.89
1972-07-28,736.6,738.17,736.12,737.56
1972-08-04,738.24,738.24,737.34,737.34
1972-08-11,737.72,739.03,737.72,738.27
1972-08-18,738.42,739.04,738.39,738.39
1972-08-25,737.61,737.61,736.61,736.86
1972-09-01,736.99,738.06,736.99,737.24
1972-09-08,737.36,737.98,736.65,736.65
1972-09-15,736.8,737.03,736.65,737.03
1972-09-22,736.62,736.62,732.92,732.92
1972-09-29,732.78,732.78,728.66,728.66
1972-10-06,729.82,729.82,728.49,728.49
1972-10-13,728.12,728.46,728.03,728.03
1972-10-20,724.27,724.93,719.51,719.51
1972-10-27,715.04,715.04,704.94,704.94
1972-11-03,701.45,709.37,701.45,703.42
1972-11-10,709.41,709.41,705.74,706.6
1972-11-17,707.15,710.48,707.15,707.35
1972-11-24,707.81,708.11,707.53,707.53
1972-12-01,707.94,708.41,706.79,706.79
1972-12-08,707.04,707.04,704.99,705.53
1972-12-15,703.95,706.63,703.95,706.63
1972-12-22,706.94,706.94,705.96,706.9
1972-12-29,707.78,709.69,707.78,708.33
1973-01-05,707.21,708.66,707.21,708.66
1973-01-12,710.64,710.64,708.73,709.32
1973-01-19,709.21,711.9,709.21,711.9
1973-01-26,711.95,712.82,710.7,712.41
1973-02-02,715.28,718.47,708.24,708.24
1973-02-09,716.01,716.01,698.42,698.42
1973-02-16,650.67,656.79,642.05,642.05
1973-02-23,648.68,655.35,646.94,655.35
1973-03-02,654.57,664.09,654.57,655.29
1973-03-09,633.93,647.52,633.93,643.31
1973-03-16,634.8,638.97,626.87,638.97
1973-03-23,647.4,658.06,647.4,658.06
1973-03-30,657.6,659.24,657.6,658.53
1973-04-06,659.14,659.14,656.71,657.45
1973-04-13,659.54,660.9,659.54,659.55
1973-04-20,659.51,660.06,659.03,660.06
1973-04-27,659.88,660.44,659.3,660.44
1973-05-04,660.85,662.16,660.68,660.99
1973-05-11,661.52,666.67,661.52,666.67
1973-05-18,672.31,673.91,668.97,673.91
1973-05-25,675.71,675.71,672.52,672.52
1973-06-01,677.12,679.26,677.12,679.26
1973-06-08,678.9,680.64,678.19,680.64
1973-06-15,680.99,682.96,680.77,682.96
1973-06-22,683.35,683.35,680.9,682.28
1973-06-29,682.83,684.94,679.29,679.29
1973-07-06,684.6,684.6,670.47,670.47
1973-07-13,663.47,674.39,663.47,673.84
1973-07-20,675.12,675.12,671.62,674.56
1973-07-27,674.65,674.65,659.93,662.88
1973-08-03,659.84,665.95,658.27,665.57
1973-08-10,660.73,662.97,656.59,656.59
1973-08-17,656.99,656.99,652.55,653.97
