Date,Open,High,Low,Close
1971-01-08,1.1138,1.1154,1.1138,1.1154
1971-01-15,1.1163,1.12,1.1163,1.1193
1971-01-22,1.1191,1.1215,1.1191,1.1215
1971-01-29,1.1236,1.1248,1.1236,1.1248
1971-02-05,1.1253,1.1253,1.1235,1.1235
1971-02-12,1.1252,1.1252,1.1237,1.124
1971-02-19,1.1257,1.1257,1.1255,1.1255
1971-02-26,1.1256,1.1257,1.1241,1.1241
1971-03-05,1.1242,1.1257,1.1242,1.1252
1971-03-12,1.1256,1.1257,1.1254,1.1257
1971-03-19,1.1257,1.1257,1.1252,1.1255
1971-03-26,1.1257,1.1257,1.1253,1.1254
1971-04-02,1.1257,1.1257,1.1225,1.1225
1971-04-09,1.1242,1.1255,1.1242,1.1245
1971-04-16,1.1246,1.1254,1.1245,1.1253
1971-04-23,1.1256,1.1258,1.1254,1.1255
1971-04-30,1.1254,1.1258,1.1254,1.1257
1971-05-07,1.1255,1.1257,1.1253,1.1255
1971-05-14,1.1248,1.1253,1.1246,1.1253
1971-05-21,1.1256,1.1257,1.1255,1.1257
1971-05-28,1.1257,1.1257,1.125,1.125
1971-06-04,1.1243,1.1255,1.1243,1.1255
1971-06-11,1.1256,1.1257,1.1254,1.1257
1971-06-18,1.1254,1.1256,1.1254,1.1256
1971-06-25,1.1256,1.1258,1.1255,1.1256
1971-07-02,1.1253,1.1258,1.1253,1.1255
1971-07-09,1.1251,1.1259,1.1251,1.1252
1971-07-16,1.1252,1.1255,1.1251,1.1255
1971-07-23,1.1252,1.1255,1.1251,1.1255
1971-07-30,1.125,1.1253,1.125,1.1252
1971-08-06,1.1248,1.1256,1.1242,1.1253
1971-08-13,1.1256,1.1258,1.1254,1.1257
1971-08-27,1.133,1.1504,1.133,1.1489
1971-09-03,1.1485,1.1485,1.1417,1.1445
1971-09-10,1.1438,1.1443,1.1438,1.1443
1971-09-17,1.1447,1.1501,1.1447,1.1501
1971-09-24,1.1511,1.1551,1.1508,1.1551
1971-10-01,1.1541,1.1582,1.153,1.1582
1971-10-08,1.158,1.1586,1.1577,1.1586
1971-10-15,1.1583,1.1584,1.1581,1.1581
1971-10-22,1.1583,1.1598,1.1582,1.1598
1971-10-29,1.1604,1.1606,1.1592,1.1592
1971-11-05,1.1598,1.1602,1.1598,1.1602
1971-11-12,1.16,1.1603,1.1597,1.1603
1971-11-19,1.16,1.1603,1.1599,1.1603
1971-11-26,1.1603,1.1604,1.1602,1.1603
1971-12-03,1.1603,1.1625,1.1599,1.1625
1971-12-10,1.1621,1.1717,1.1621,1.1717
1971-12-17,1.172,1.1768,1.172,1.1768
1971-12-31,1.189,1.1913,1.189,1.1913
1972-01-07,1.195,1.195,1.1915,1.1925
1972-01-14,1.1925,1.198,1.19,1.198
1972-01-21,1.196,1.196,1.19,1.192
1972-01-28,1.193,1.195,1.193,1.195
1972-02-04,1.195,1.195,1.195,1.195
1972-02-11,1.195,1.195,1.1925,1.1925
1972-02-18,1.1925,1.194,1.1925,1.1925
1972-02-25,1.195,1.195,1.1925,1.1925
1972-03-03,1.195,1.195,1.195,1.195
1972-03-10,1.192,1.1925,1.19,1.19
1972-03-17,1.195,1.195,1.19,1.19
1972-03-24,1.192,1.192,1.192,1.192
1972-03-31,1.192,1.198,1.192,1.198
1972-04-07,1.198,1.198,1.192,1.192
1972-04-14,1.195,1.195,1.1925,1.195
1972-04-21,1.195,1.195,1.192,1.192
1972-04-28,1.193,1.193,1.192,1.1925
1972-05-05,1.195,1.195,1.195,1.195
1972-05-12,1.195,1.195,1.1925,1.1925
1972-05-19,1.195,1.195,1.194,1.195
1972-05-26,1.195,1.195,1.191,1.191
1972-06-02,1.191,1.196,1.19,1.196
1972-06-09,1.195,1.195,1.19,1.19
1972-06-16,1.19,1.195,1.19,1.19
1972-06-23,1.19,1.19,1.19,1.19
1972-06-30,1.19,1.19,1.19,1.19
1972-07-07,1.192,1.195,1.192,1.195
1972-07-14,1.194,1.194,1.192,1.192
1972-07-21,1.195,1.195,1.1925,1.194
1972-07-28,1.1925,1.194,1.19,1.19
1972-08-04,1.195,1.195,1.194,1.195
1972-08-11,1.194,1.195,1.193,1.195
1972-08-18,1.195,1.195,1.193,1.194
1972-08-25,1.195,1.195,1.195,1.195
1972-09-01,1.195,1.195,1.195,1.195
1972-09-08,1.195,1.195,1.195,1.195
1972-09-15,1.195,1.195,1.1925,1.1925
1972-09-22,1.1925,1.194,1.1915,1.194
1972-09-29,1.19,1.194,1.19,1.194
1972-10-06,1.194,1.194,1.1885,1.1925
1972-10-13,1.1925,1.1925,1.1925,1.1925
1972-10-20,1.19,1.195,1.19,1.195
1972-10-27,1.1925,1.195,1.192,1.195
1972-11-03,1.1925,1.199,1.1925,1.194
