Date,Open,High,Low,Close,
12/2/2005,5.392,5.435,5.33,5.362,0.03
12/9/2005,5.36,5.52,5.36,5.384,-0.024
12/16/2005,5.385,5.48,5.278,5.285,0.1
12/23/2005,5.245,5.335,5.22,5.23,0.015
12/30/2005,5.23,5.243,5.165,5.2,0.03
1/6/2006,5.21,5.25,5.165,5.175,0.035
1/13/2006,5.175,5.245,5.16,5.165,0.01
1/20/2006,5.165,5.18,5.11,5.18,-0.015
1/27/2006,5.142,5.365,5.134,5.36,-0.218
2/3/2006,5.31,5.408,5.285,5.365,-0.055
2/10/2006,5.343,5.345,5.23,5.24,0.103
2/17/2006,5.265,5.3,5.23,5.23,0.035
2/24/2006,5.23,5.244,5.115,5.214,0.016
3/3/2006,5.214,5.333,5.214,5.315,-0.101
3/10/2006,5.315,5.405,5.315,5.38,-0.065
3/17/2006,5.38,5.45,5.27,5.27,0.11
3/24/2006,5.27,5.365,5.23,5.35,-0.08
3/31/2006,5.29,5.435,5.269,5.415,-0.125
4/7/2006,5.418,5.56,5.402,5.54,-0.122
4/14/2006,5.54,5.645,5.54,5.625,-0.085
4/21/2006,5.63,5.685,5.576,5.655,-0.025
4/28/2006,5.655,5.768,5.61,5.7,-0.045
5/5/2006,5.7,5.826,5.69,5.79,-0.09
5/12/2006,5.79,5.854,5.735,5.823,-0.033
5/19/2006,5.823,5.879,5.732,5.738,0.085
5/26/2006,5.753,5.764,5.655,5.735,0.018
6/2/2006,5.728,5.785,5.727,5.741,-0.013
6/9/2006,5.741,5.741,5.593,5.659,0.082
6/16/2006,5.667,5.755,5.603,5.734,-0.067
6/23/2006,5.765,5.856,5.76,5.835,-0.07
6/30/2006,5.835,5.882,5.768,5.78,0.055
7/7/2006,5.78,5.878,5.723,5.847,-0.067
7/14/2006,5.847,5.875,5.743,5.835,0.012
7/21/2006,5.84,5.899,5.778,5.783,0.057
7/28/2006,5.783,5.933,5.745,5.899,-0.116
8/4/2006,5.899,5.899,5.788,5.819,0.08
8/11/2006,5.819,5.858,5.74,5.853,-0.034
8/18/2006,5.853,5.943,5.75,5.767,0.086
8/25/2006,5.765,5.765,5.648,5.654,0.111
9/1/2006,5.64,5.693,5.538,5.623,0.017
9/8/2006,5.613,5.696,5.568,5.642,-0.029
9/15/2006,5.642,5.69,5.578,5.673,-0.031
9/22/2006,5.685,5.725,5.485,5.536,0.149
9/29/2006,5.493,5.518,5.398,5.506,-0.013
10/6/2006,5.519,5.528,5.408,5.499,0.02
10/13/2006,5.573,5.743,5.573,5.704,-0.131
10/20/2006,5.725,5.813,5.689,5.746,-0.021
10/27/2006,5.746,5.823,5.68,5.684,0.062
11/3/2006,5.684,5.684,5.51,5.622,0.062
11/10/2006,5.622,5.745,5.503,5.617,0.005
11/17/2006,5.617,5.63,5.46,5.624,-0.007
11/24/2006,5.563,5.59,5.54,5.563,0
12/1/2006,5.54,5.599,5.513,5.538,0.002
12/8/2006,5.519,5.614,5.476,5.598,-0.079
12/15/2006,5.598,5.778,5.598,5.758,-0.16
12/22/2006,5.758,5.837,5.758,5.803,-0.045
12/29/2006,5.826,5.933,5.825,5.882,-0.056
1/5/2007,5.886,5.943,5.788,5.806,0.08
1/12/2007,5.805,5.948,5.805,5.898,-0.093
1/19/2007,5.9,5.938,5.855,5.888,0.012
1/26/2007,5.903,5.944,5.798,5.836,0.067
2/2/2007,5.836,5.955,5.836,5.948,-0.112
2/9/2007,5.948,5.948,5.758,5.767,0.181
2/16/2007,5.768,5.85,5.767,5.781,-0.013
2/23/2007,5.763,5.853,5.759,5.846,-0.083
3/2/2007,5.81,5.81,5.638,5.673,0.137
3/9/2007,5.643,5.677,5.601,5.666,-0.023
3/16/2007,5.753,5.794,5.611,5.768,-0.015
3/23/2007,5.754,5.85,5.734,5.834,-0.08
3/30/2007,5.918,5.918,5.814,5.88,0.038
4/6/2007,5.897,5.911,5.851,5.89,0.007
4/13/2007,5.891,5.951,5.889,5.947,-0.056
4/20/2007,5.985,5.985,5.912,5.962,0.023
4/27/2007,5.977,5.977,5.843,5.897,0.08
5/4/2007,5.883,5.903,5.809,5.852,0.031
5/11/2007,5.838,5.937,5.831,5.877,-0.039
5/18/2007,5.892,5.961,5.871,5.945,-0.053
5/25/2007,5.972,6.01,5.942,5.97,0.002
6/1/2007,6.002,6.049,5.984,6.04,-0.038
6/8/2007,6.078,6.266,6.063,6.257,-0.179
6/15/2007,6.218,6.318,6.21,6.271,-0.053
6/22/2007,6.234,6.293,6.201,6.263,-0.029
6/29/2007,6.258,6.294,6.193,6.256,0.002
7/6/2007,6.193,6.259,6.137,6.237,-0.044
7/13/2007,6.291,6.303,6.157,6.232,0.059
7/20/2007,6.205,6.211,6.137,6.145,0.06
7/27/2007,6.117,6.161,5.966,5.967,0.15
8/3/2007,5.959,6.036,5.914,5.95,0.009
8/10/2007,5.89,6.095,5.883,5.921,-0.031
8/17/2007,5.99,6.011,5.798,5.798,0.192
8/24/2007,5.86,5.948,5.831,5.947,-0.087
8/31/2007,5.951,6.001,5.833,5.918,0.033
9/7/2007,5.902,6.013,5.892,5.943,-0.041
9/14/2007,5.839,5.986,5.778,5.913,-0.074
9/21/2007,5.892,6.192,5.865,6.139,-0.247
9/28/2007,6.111,6.21,6.111,6.145,-0.034
10/5/2007,6.176,6.22,6.131,6.131,0.045
10/12/2007,6.213,6.28,6.208,6.228,-0.015
10/19/2007,6.287,6.305,6.1,6.111,0.176
10/26/2007,6.063,6.175,6.007,6.037,0.026
11/2/2007,6.083,6.27,6.05,6.16,-0.077
11/9/2007,6.173,6.217,5.933,5.976,0.197
11/16/2007,5.966,6.133,5.906,6.012,-0.046
11/23/2007,6.055,6.063,5.824,5.845,0.21
11/30/2007,5.858,6,5.77,5.997,-0.139
12/7/2007,5.97,6.053,5.923,6.047,-0.077
12/14/2007,6.105,6.315,6.087,6.266,-0.161
12/21/2007,6.266,6.318,6.215,6.251,0.015
12/28/2007,6.328,6.42,6.318,6.385,-0.057
1/4/2008,6.365,6.4,6.1,6.107,0.258
1/11/2008,6.027,6.192,6.027,6.128,-0.101
1/18/2008,6.078,6.102,5.94,6.043,0.035
1/25/2008,6.025,6.195,5.857,6.191,-0.166
2/1/2008,6.191,6.191,6.024,6.126,0.065
2/8/2008,6.185,6.232,6.06,6.191,-0.006
2/15/2008,6.182,6.347,6.145,6.328,-0.146
2/22/2008,6.323,6.513,6.273,6.373,-0.05
2/29/2008,6.403,6.477,6.197,6.213,0.19
