Date,Open,High,Low,Close,,
12/2/2005,4.034,4.113,3.986,4.083,-0.049,-0.049
12/9/2005,4.118,4.128,4.041,4.108,0.01,0.01
12/16/2005,4.107,4.155,4.005,4.017,0.09,0.09
12/23/2005,4.017,4.054,3.989,3.991,0.026,0.026
12/30/2005,3.991,3.991,3.914,3.979,0.012,0.012
1/6/2006,3.98,4.009,3.917,3.978,0.002,0.002
1/13/2006,3.975,4.076,3.971,3.991,-0.016,-0.016
1/20/2006,3.994,4.029,3.896,4.011,-0.017,-0.017
1/27/2006,4.009,4.176,4.009,4.159,-0.15,-0.15
2/3/2006,4.176,4.219,4.155,4.166,0.01,0.01
2/10/2006,4.176,4.231,4.161,4.226,-0.05,-0.05
2/17/2006,4.224,4.242,4.122,4.122,0.102,0.102
2/24/2006,4.12,4.165,4.095,4.151,-0.031,-0.031
3/3/2006,4.151,4.232,4.119,4.219,-0.068,-0.068
3/10/2006,4.223,4.31,4.2,4.243,-0.02,-0.02
3/17/2006,4.266,4.284,4.108,4.148,0.118,0.118
3/24/2006,4.153,4.22,4.13,4.136,0.017,0.017
3/31/2006,4.144,4.284,4.143,4.262,-0.118,-0.118
4/7/2006,4.278,4.424,4.268,4.421,-0.143,-0.143
4/14/2006,4.417,4.45,4.366,4.448,-0.031,-0.031
4/21/2006,4.434,4.488,4.385,4.456,-0.022,-0.022
4/28/2006,4.457,4.55,4.415,4.468,-0.011,-0.011
5/5/2006,4.465,4.518,4.444,4.455,0.01,0.01
5/12/2006,4.46,4.504,4.399,4.459,0.001,0.001
5/19/2006,4.446,4.464,4.313,4.338,0.108,0.108
5/26/2006,4.315,4.35,4.281,4.304,0.011,0.011
6/2/2006,4.305,4.471,4.295,4.312,-0.007,-0.007
6/9/2006,4.324,4.374,4.286,4.366,-0.042,-0.042
6/16/2006,4.375,4.406,4.299,4.388,-0.013,-0.013
6/23/2006,4.391,4.623,4.391,4.613,-0.222,-0.222
6/30/2006,4.615,4.656,4.581,4.584,0.031,0.031
7/7/2006,4.586,4.648,4.484,4.505,0.081,0.081
7/14/2006,4.504,4.518,4.405,4.445,0.059,0.059
7/21/2006,4.451,4.522,4.352,4.384,0.067,0.067
7/28/2006,4.394,4.429,4.34,4.346,0.048,0.048
8/4/2006,4.346,4.366,4.295,4.338,0.008,0.008
8/11/2006,4.34,4.37,4.309,4.367,-0.027,-0.027
8/18/2006,4.376,4.389,4.218,4.232,0.144,0.144
8/25/2006,4.215,4.228,4.177,4.183,0.032,0.032
9/1/2006,4.187,4.203,4.08,4.084,0.103,0.103
9/8/2006,4.087,4.182,4.066,4.101,-0.014,-0.014
9/15/2006,4.103,4.169,4.096,4.109,-0.006,-0.006
9/22/2006,4.13,4.157,3.993,4,0.13,0.13
9/29/2006,3.989,4.02,3.926,4.001,-0.012,-0.012
10/6/2006,4.016,4.086,3.962,4.083,-0.067,-0.067
10/13/2006,4.082,4.186,4.082,4.172,-0.09,-0.09
10/20/2006,4.171,4.208,4.128,4.186,-0.015,-0.015
10/27/2006,4.211,4.222,4.053,4.077,0.134,0.134
11/3/2006,4.066,4.122,3.979,4.111,-0.045,-0.045
11/10/2006,4.117,4.142,3.997,4.007,0.11,0.11
11/17/2006,3.999,4.043,3.966,4.005,-0.006,-0.006
11/24/2006,3.997,4.008,3.945,3.968,0.029,0.029
12/1/2006,3.975,3.998,3.86,3.868,0.107,0.107
12/8/2006,3.869,3.949,3.857,3.936,-0.067,-0.067
12/15/2006,3.935,4.025,3.884,4.011,-0.076,-0.076
12/22/2006,4.007,4.084,3.97,4.008,-0.001,-0.001
12/29/2006,4.012,4.11,3.984,4.086,-0.074,-0.074
1/5/2007,4.086,4.086,3.993,4.035,0.051,0.051
1/12/2007,4.048,4.143,4.039,4.135,-0.087,-0.087
1/19/2007,4.136,4.19,4.108,4.137,-0.001,-0.001
1/26/2007,4.133,4.226,4.118,4.196,-0.063,-0.063
2/2/2007,4.193,4.238,4.148,4.184,0.009,0.009
2/9/2007,4.18,4.18,4.097,4.165,0.015,0.015
2/16/2007,4.176,4.224,4.086,4.103,0.073,0.073
2/23/2007,4.109,4.14,4.068,4.105,0.004,0.004
3/2/2007,4.08,4.089,3.964,4.001,0.079,0.079
3/9/2007,3.971,4.054,3.947,4.046,-0.075,-0.075
3/16/2007,4.06,4.064,3.971,4.031,0.029,0.029
3/23/2007,4.051,4.117,4.047,4.113,-0.062,-0.062
3/30/2007,4.121,4.141,4.065,4.113,0.008,0.008
4/6/2007,4.106,4.171,4.099,4.158,-0.052,-0.052
4/13/2007,4.192,4.218,4.157,4.215,-0.023,-0.023
4/20/2007,4.216,4.24,4.161,4.219,-0.003,-0.003
4/27/2007,4.216,4.234,4.135,4.223,-0.007,-0.007
5/4/2007,4.209,4.235,4.13,4.206,0.003,0.003
5/11/2007,4.219,4.221,4.144,4.185,0.034,0.034
5/18/2007,4.191,4.339,4.188,4.319,-0.128,-0.128
5/25/2007,4.317,4.434,4.317,4.419,-0.102,-0.102
6/1/2007,4.418,4.527,4.417,4.519,-0.101,-0.101
6/8/2007,4.521,4.697,4.473,4.628,-0.107,-0.107
6/15/2007,4.637,4.764,4.605,4.617,0.02,0.02
6/22/2007,4.612,4.698,4.598,4.656,-0.044,-0.044
6/29/2007,4.649,4.649,4.55,4.555,0.094,0.094
7/6/2007,4.547,4.73,4.517,4.701,-0.154,-0.154
7/13/2007,4.707,4.708,4.539,4.646,0.061,0.061
7/20/2007,4.632,4.658,4.548,4.559,0.073,0.073
7/27/2007,4.546,4.611,4.484,4.492,0.054,0.054
8/3/2007,4.486,4.586,4.47,4.47,0.016,0.016
