Date,Open,High,Low,Close,,
4/7/2006,2.826,2.875,2.826,2.875,-0.049,-0.049
4/14/2006,2.861,2.865,2.86,2.86,0.001,0.001
4/21/2006,2.88,2.96,2.88,2.96,-0.08,-0.08
4/28/2006,2.914,2.979,2.914,2.971,-0.057,-0.057
5/12/2006,2.984,2.995,2.965,2.995,-0.011,-0.011
5/19/2006,2.977,2.989,2.977,2.989,-0.012,-0.012
5/26/2006,2.972,2.972,2.95,2.96,0.012,0.012
6/2/2006,2.987,2.987,2.982,2.982,0.005,0.005
6/9/2006,2.984,2.988,2.981,2.988,-0.004,-0.004
6/16/2006,3.016,3.051,3.016,3.051,-0.035,-0.035
6/23/2006,3.106,3.106,3.084,3.1,0.006,0.006
6/30/2006,3.124,3.14,3.124,3.14,-0.016,-0.016
7/7/2006,3.148,3.164,3.148,3.164,-0.016,-0.016
7/14/2006,3.163,3.181,3.148,3.181,-0.018,-0.018
7/21/2006,3.169,3.193,3.154,3.154,0.015,0.015
7/28/2006,3.214,3.279,3.214,3.279,-0.065,-0.065
8/4/2006,3.288,3.288,3.262,3.283,0.005,0.005
8/11/2006,3.262,3.262,3.232,3.238,0.024,0.024
8/18/2006,3.221,3.221,3.202,3.203,0.018,0.018
8/25/2006,3.219,3.225,3.197,3.197,0.022,0.022
9/1/2006,3.199,3.21,3.193,3.193,0.006,0.006
9/8/2006,3.198,3.198,3.19,3.19,0.008,0.008
9/15/2006,3.189,3.189,3.181,3.181,0.008,0.008
9/22/2006,3.177,3.177,3.15,3.15,0.027,0.027
9/29/2006,3.113,3.113,3.036,3.036,0.077,0.077
10/13/2006,3.036,3.039,2.983,3,0.036,0.036
10/20/2006,2.995,3.003,2.953,2.953,0.042,0.042
10/27/2006,2.965,2.983,2.899,2.899,0.066,0.066
11/3/2006,2.95,2.962,2.945,2.959,-0.009,-0.009
11/10/2006,2.966,2.966,2.955,2.96,0.006,0.006
11/17/2006,2.974,2.986,2.974,2.975,-0.001,-0.001
11/24/2006,2.977,3.042,2.977,3.042,-0.065,-0.065
12/1/2006,3.042,3.042,3.012,3.021,0.021,0.021
12/8/2006,3.009,3.028,3.009,3.028,-0.019,-0.019
12/15/2006,3.046,3.046,3.035,3.035,0.011,0.011
12/22/2006,3.041,3.045,3.034,3.038,0.003,0.003
12/29/2006,3.045,3.058,3.04,3.058,-0.013,-0.013
1/5/2007,3.036,3.038,3.036,3.038,-0.002,-0.002
1/12/2007,3.055,3.055,3.023,3.025,0.03,0.03
1/19/2007,3.028,3.038,3.024,3.029,-0.001,-0.001
1/26/2007,3.041,3.046,3.034,3.041,0,0
2/2/2007,3.042,3.057,3.037,3.051,-0.009,-0.009
2/9/2007,3.058,3.058,3.047,3.054,0.004,0.004
2/16/2007,3.08,3.11,3.08,3.11,-0.03,-0.03
3/2/2007,3.11,3.13,3.1,3.13,-0.02,-0.02
3/9/2007,3.12,3.17,3.12,3.17,-0.05,-0.05
3/16/2007,3.17,3.18,3.17,3.17,0,0
3/23/2007,3.25,3.36,3.25,3.35,-0.1,-0.1
3/30/2007,3.35,3.4,3.35,3.37,-0.02,-0.02
4/6/2007,3.46,3.46,3.45,3.46,0,0
4/13/2007,3.47,3.49,3.47,3.49,-0.02,-0.02
4/20/2007,3.48,3.58,3.48,3.58,-0.1,-0.1
4/27/2007,3.56,3.62,3.56,3.62,-0.06,-0.06
5/4/2007,3.64,3.64,3.64,3.64,0,0
5/11/2007,3.64,3.66,3.63,3.66,-0.02,-0.02
5/18/2007,3.65,3.74,3.65,3.74,-0.09,-0.09
5/25/2007,3.83,4.01,3.83,4.01,-0.18,-0.18
6/1/2007,3.97,4.03,3.92,3.92,0.05,0.05
6/8/2007,4,4.05,4,4.05,-0.05,-0.05
6/15/2007,4.1,4.27,4.1,4.27,-0.17,-0.17
6/22/2007,4.35,4.41,4.21,4.41,-0.06,-0.06
6/29/2007,4.43,4.44,4.43,4.43,0,0
7/6/2007,4.46,4.49,4.46,4.49,-0.03,-0.03
7/13/2007,4.5,4.53,4.5,4.5,0,0
7/20/2007,4.51,4.51,4.49,4.49,0.02,0.02
