Date,Open,High,Low,Close,
12/2/2005,3.427,3.475,3.38,3.397,
12/9/2005,3.393,3.451,3.364,3.445,
12/16/2005,3.45,3.45,3.343,3.345,
12/23/2005,3.351,3.409,3.317,3.326,
12/30/2005,3.331,3.35,3.283,3.309,
1/6/2006,3.297,3.374,3.248,3.262,
1/13/2006,3.263,3.308,3.252,3.264,
1/20/2006,3.266,3.375,3.229,3.375,
1/27/2006,3.37,3.503,3.344,3.48,
2/3/2006,3.487,3.54,3.446,3.489,
2/10/2006,3.487,3.537,3.429,3.476,
2/17/2006,3.458,3.529,3.447,3.447,
2/24/2006,3.458,3.501,3.415,3.49,
3/3/2006,3.49,3.599,3.486,3.591,
3/10/2006,3.593,3.69,3.576,3.687,
3/17/2006,3.689,3.714,3.623,3.691,
3/24/2006,3.691,3.701,3.618,3.634,
3/31/2006,3.643,3.79,3.621,3.771,
4/7/2006,3.765,3.906,3.762,3.896,
4/14/2006,3.887,3.961,3.847,3.957,
4/21/2006,3.952,3.965,3.891,3.952,
4/28/2006,3.947,4.036,3.91,3.951,
5/5/2006,3.949,4.053,3.949,4.002,
5/12/2006,4.003,4.097,3.979,4.081,
5/19/2006,4.092,4.092,3.976,3.99,
5/26/2006,3.981,3.992,3.864,3.884,
6/2/2006,3.888,4.023,3.868,3.929,
6/9/2006,3.936,4.025,3.92,3.934,
6/16/2006,3.936,3.966,3.854,3.939,
6/23/2006,3.935,4.089,3.935,4.081,
6/30/2006,4.083,4.113,4.043,4.071,
7/7/2006,4.074,4.15,4.052,4.065,
7/14/2006,4.062,4.108,3.974,3.983,
7/21/2006,3.984,4.047,3.948,3.956,
7/28/2006,3.949,4.002,3.911,3.92,
8/4/2006,3.922,3.991,3.901,3.906,
8/11/2006,3.908,3.986,3.893,3.981,
8/18/2006,3.978,4.023,3.896,3.902,
8/25/2006,3.903,3.903,3.781,3.793,
9/1/2006,3.79,3.834,3.736,3.745,
9/8/2006,3.737,3.861,3.737,3.787,
9/15/2006,3.787,3.844,3.763,3.776,
9/22/2006,3.772,3.843,3.688,3.694,
9/29/2006,3.691,3.717,3.641,3.709,
10/6/2006,3.707,3.761,3.674,3.752,
10/13/2006,3.746,3.839,3.746,3.832,
10/20/2006,3.83,3.851,3.795,3.839,
10/27/2006,3.838,3.898,3.799,3.809,
11/3/2006,3.806,3.813,3.703,3.773,
11/10/2006,3.774,3.798,3.706,3.714,
11/17/2006,3.713,3.783,3.688,3.73,
11/24/2006,3.722,3.755,3.691,3.699,
12/1/2006,3.708,3.742,3.647,3.664,
12/8/2006,3.663,3.741,3.657,3.728,
12/15/2006,3.746,3.805,3.691,3.799,
12/22/2006,3.797,3.906,3.797,3.881,
12/29/2006,3.885,3.967,3.864,3.948,
1/5/2007,3.927,3.998,3.912,3.982,
1/12/2007,3.979,4.07,3.963,4.063,
1/19/2007,4.07,4.103,4.005,4.05,
1/26/2007,4.054,4.115,3.999,4.092,
2/2/2007,4.086,4.132,4.053,4.061,
2/9/2007,4.061,4.092,4.016,4.091,
2/16/2007,4.087,4.132,4.028,4.05,
2/23/2007,4.049,4.102,4.036,4.047,
3/2/2007,4.047,4.047,3.915,3.938,
3/9/2007,3.941,3.965,3.891,3.959,
3/16/2007,3.953,3.973,3.871,3.905,
3/23/2007,3.907,4.004,3.893,4.001,
3/30/2007,4,4.08,3.986,4.057,
4/6/2007,4.068,4.106,4.043,4.097,
4/13/2007,4.096,4.242,4.096,4.231,
4/20/2007,4.241,4.246,4.127,4.203,
4/27/2007,4.202,4.239,4.148,4.22,
5/4/2007,4.217,4.233,4.138,4.195,
5/11/2007,4.197,4.237,4.157,4.217,
5/18/2007,4.229,4.324,4.229,4.311,
5/25/2007,4.324,4.396,4.309,4.387,
6/1/2007,4.4,4.469,4.377,4.461,
6/8/2007,4.466,4.63,4.446,4.572,
6/15/2007,4.575,4.704,4.541,4.657,
6/22/2007,4.649,4.68,4.573,4.653,
6/29/2007,4.654,4.654,4.528,4.574,
7/6/2007,4.548,4.688,4.496,4.677,
7/13/2007,4.687,4.696,4.51,4.618,
7/20/2007,4.614,4.622,4.433,4.438,
7/27/2007,4.434,4.452,4.299,4.323,
8/3/2007,4.324,4.389,4.272,4.317,
8/10/2007,4.297,4.436,4.288,4.354,
8/17/2007,4.353,4.417,4.218,4.287,
8/24/2007,4.293,4.34,4.208,4.262,
8/31/2007,4.259,4.309,4.182,4.242,
9/7/2007,4.254,4.287,4.112,4.122,
9/14/2007,4.115,4.179,4.061,4.166,
9/21/2007,4.179,4.384,4.133,4.358,
9/28/2007,4.356,4.409,4.309,4.329,
10/5/2007,4.332,4.368,4.274,4.35,
10/12/2007,4.351,4.43,4.311,4.421,
