Date,Open,High,Low,Close
1971-01-08,0.5353,0.5354,0.535,0.5354
1971-01-15,0.5355,0.536,0.5355,0.536
1971-01-22,0.5363,0.5371,0.5363,0.5371
1971-01-29,0.5372,0.5372,0.5371,0.5371
1971-02-05,0.5369,0.5372,0.5369,0.5371
1971-02-12,0.5371,0.5372,0.5369,0.5369
1971-02-19,0.5372,0.5372,0.5371,0.5371
1971-02-26,0.5372,0.5372,0.5363,0.5363
1971-03-05,0.5368,0.5373,0.5368,0.537
1971-03-12,0.5372,0.5372,0.5368,0.5368
1971-03-19,0.5368,0.5372,0.5367,0.5371
1971-03-26,0.5371,0.5372,0.537,0.5371
1971-04-02,0.537,0.5373,0.537,0.5373
1971-04-09,0.5371,0.5372,0.5369,0.5369
1971-04-16,0.5368,0.5368,0.5363,0.5363
1971-04-23,0.5354,0.5364,0.5354,0.536
1971-04-30,0.5361,0.5371,0.5361,0.5369
1971-05-07,0.5372,0.5464,0.5372,0.5464
1971-05-14,0.5511,0.5511,0.5463,0.5498
1971-05-21,0.5499,0.557,0.5499,0.557
1971-05-28,0.5559,0.5559,0.5496,0.5496
1971-06-04,0.5465,0.5532,0.5465,0.5532
1971-06-11,0.5537,0.556,0.5537,0.556
1971-06-18,0.556,0.5566,0.556,0.5565
1971-06-25,0.5565,0.558,0.5565,0.557
1971-07-02,0.5569,0.5577,0.5569,0.5571
1971-07-09,0.557,0.5573,0.557,0.5571
1971-07-16,0.5571,0.5614,0.5571,0.5614
1971-07-23,0.5615,0.5629,0.5612,0.5629
1971-07-30,0.563,0.5637,0.563,0.5636
1971-08-06,0.5635,0.5662,0.5635,0.5658
1971-08-13,0.572,0.576,0.572,0.5755
1971-08-20,0.5739,0.5759,0.5688,0.5688
1971-08-27,0.5695,0.5755,0.5695,0.5735
1971-09-03,0.5736,0.5756,0.5736,0.5756
1971-09-10,0.5752,0.5761,0.5748,0.5761
1971-09-17,0.5762,0.5794,0.5762,0.5794
1971-09-24,0.5846,0.589,0.5827,0.5885
1971-10-01,0.5885,0.5886,0.5874,0.5874
1971-10-08,0.5868,0.5883,0.5868,0.5882
1971-10-15,0.5866,0.5866,0.5843,0.5847
1971-10-22,0.5867,0.5876,0.585,0.585
1971-10-29,0.5854,0.5854,0.5842,0.5842
1971-11-05,0.5848,0.5848,0.584,0.584
1971-11-12,0.5833,0.5839,0.5824,0.5839
1971-11-19,0.584,0.5847,0.5834,0.5847
1971-11-26,0.5859,0.5894,0.5859,0.5894
1971-12-03,0.5892,0.5965,0.589,0.5965
1971-12-10,0.6001,0.6001,0.5952,0.5952
1971-12-17,0.5954,0.5996,0.5954,0.5985
1971-12-24,0.5986,0.5986,0.5969,0.5969
1971-12-31,0.5953,0.5966,0.5946,0.5966
1972-01-07,0.5962,0.5975,0.5958,0.5975
1972-01-14,0.5998,0.6071,0.5998,0.6071
1972-01-21,0.608,0.608,0.6058,0.6059
1972-01-28,0.6075,0.6081,0.6072,0.6073
1972-02-04,0.6076,0.6123,0.6076,0.6088
1972-02-11,0.6096,0.6115,0.6096,0.6115
1972-02-18,0.612,0.6178,0.612,0.6149
1972-02-25,0.614,0.6146,0.6106,0.6106
1972-03-03,0.6116,0.6131,0.6116,0.6127
1972-03-10,0.6143,0.618,0.6143,0.6176
1972-03-17,0.6172,0.6172,0.5949,0.5949
1972-03-24,0.6145,0.6155,0.6129,0.6129
1972-03-31,0.6147,0.6156,0.6147,0.6156
1972-04-07,0.6157,0.6157,0.6145,0.6148
1972-04-14,0.6147,0.6151,0.6136,0.6136
1972-04-21,0.6135,0.6135,0.6104,0.612
1972-04-28,0.6138,0.6139,0.6132,0.6132
1972-05-05,0.6135,0.6135,0.6128,0.6132
1972-05-12,0.6132,0.6144,0.6132,0.6135
1972-05-19,0.6127,0.6133,0.612,0.613
1972-05-26,0.6132,0.6136,0.6132,0.6135
1972-06-02,0.614,0.6141,0.614,0.6141
1972-06-09,0.6138,0.6146,0.6136,0.6146
1972-06-16,0.6157,0.6166,0.6155,0.6155
1972-06-23,0.615,0.6202,0.6111,0.6202
1972-06-30,0.6192,0.6192,0.6157,0.619
1972-07-07,0.619,0.619,0.6182,0.6187
1972-07-14,0.6182,0.6191,0.6181,0.6191
1972-07-21,0.619,0.619,0.6151,0.6151
1972-07-28,0.6148,0.615,0.6141,0.6141
1972-08-04,0.6143,0.6143,0.6127,0.6135
1972-08-11,0.6137,0.6137,0.6124,0.6124
1972-08-18,0.6128,0.6128,0.6104,0.6104
1972-08-25,0.6097,0.6119,0.6097,0.6106
1972-09-01,0.6112,0.6118,0.6111,0.6114
1972-09-08,0.6113,0.6124,0.6113,0.6121
1972-09-15,0.6116,0.6116,0.6107,0.6107
1972-09-22,0.6099,0.6107,0.6099,0.6107
1972-09-29,0.6103,0.6103,0.6089,0.6089
1972-10-06,0.6072,0.6101,0.6068,0.6101
1972-10-13,0.6092,0.6092,0.6073,0.6073
1972-10-20,0.6076,0.6085,0.6076,0.6081
1972-10-27,0.6067,0.6085,0.6067,0.6081
1972-11-03,0.6087,0.6095,0.6084,0.6095
1972-11-10,0.6087,0.6087,0.6079,0.6079
1972-11-17,0.6077,0.6081,0.6077,0.6077
1972-11-24,0.6084,0.6089,0.6084,0.6088
1972-12-01,0.6101,0.6115,0.6096,0.6115
1972-12-08,0.6105,0.6108,0.6099,0.6101
1972-12-15,0.61,0.61,0.6092,0.6092
1972-12-22,0.6088,0.6098,0.6086,0.6094
1972-12-29,0.6094,0.6094,0.6088,0.6091
1973-01-05,0.6085,0.6086,0.6085,0.6085
1973-01-12,0.6079,0.6092,0.6079,0.6083
1973-01-19,0.6075,0.6075,0.6068,0.6068
1973-01-26,0.6108,0.6127,0.6102,0.6127
1973-02-02,0.6163,0.6191,0.6163,0.617
1973-02-09,0.6185,0.6193,0.6184,0.6192
1973-02-16,0.6588,0.6835,0.6585,0.6585
1973-02-23,0.6573,0.6771,0.6573,0.6771
1973-03-02,0.6765,0.704,0.6765,0.704
1973-03-09,0.6937,0.7034,0.6937,0.702
1973-03-16,0.6976,0.6976,0.6884,0.6884
1973-03-23,0.6898,0.6903,0.6896,0.6901
1973-03-30,0.6909,0.6909,0.6861,0.6861
1973-04-06,0.6833,0.6896,0.682,0.6869
1973-04-13,0.6863,0.6891,0.6863,0.6886
1973-04-20,0.6826,0.6908,0.6826,0.6894
1973-04-27,0.6892,0.6892,0.6861,0.687
1973-05-04,0.6871,0.6872,0.6853,0.6853
