Date,Open,High,Low,Close
1971-03-05,2.416,2.4195,2.416,2.4184
1971-03-12,2.4195,2.4195,2.4184,2.4195
1971-03-19,2.4195,2.4195,2.4178,2.4195
1971-03-26,2.4195,2.4195,2.4184,2.419
1971-04-02,2.4195,2.4195,2.4125,2.4125
1971-04-09,2.416,2.4184,2.416,2.4166
1971-04-16,2.4166,2.4184,2.4166,2.4184
1971-04-23,2.4195,2.4195,2.419,2.419
1971-04-30,2.4184,2.4195,2.4184,2.4195
1971-05-07,2.419,2.4195,2.4184,2.4184
1971-05-14,2.4178,2.419,2.4172,2.419
1971-05-21,2.4195,2.4195,2.419,2.419
1971-05-28,2.4195,2.4195,2.4178,2.4178
1971-06-04,2.4166,2.419,2.4166,2.419
1971-06-11,2.4195,2.4195,2.4184,2.4195
1971-06-18,2.4184,2.4195,2.4184,2.419
1971-06-25,2.419,2.419,2.419,2.419
1971-07-02,2.419,2.4195,2.419,2.419
1971-07-09,2.4178,2.419,2.4178,2.4184
1971-07-16,2.4178,2.419,2.4178,2.419
1971-07-23,2.4184,2.419,2.4184,2.419
1971-07-30,2.4178,2.419,2.4178,2.4178
1971-08-06,2.4178,2.4195,2.4172,2.4184
1971-08-13,2.419,2.4201,2.419,2.4195
1971-08-20,2.4184,2.4184,2.4137,2.4137
1971-08-27,2.4349,2.4722,2.4349,2.4691
1971-09-03,2.4679,2.4679,2.4534,2.4588
1971-09-10,2.4582,2.4588,2.4582,2.4588
1971-09-17,2.4606,2.4722,2.4606,2.4722
1971-09-24,2.474,2.482,2.4734,2.482
1971-10-01,2.4802,2.4894,2.4777,2.4894
1971-10-08,2.4888,2.4894,2.4802,2.4802
1971-10-15,2.4894,2.4894,2.4808,2.4888
1971-10-22,2.4894,2.4925,2.4888,2.4925
1971-10-29,2.4938,2.4944,2.4919,2.4919
1971-11-05,2.4925,2.4938,2.4925,2.4938
1971-11-12,2.4931,2.4938,2.4925,2.4938
1971-11-19,2.4931,2.4938,2.4925,2.4938
1971-11-26,2.4938,2.4938,2.4938,2.4938
1971-12-03,2.4938,2.4988,2.4931,2.4988
1971-12-10,2.4975,2.5183,2.4975,2.5183
1971-12-17,2.5189,2.5291,2.5183,2.5291
1971-12-24,2.5278,2.5536,2.5278,2.5478
1971-12-31,2.5478,2.5536,2.5471,2.5523
1972-01-07,2.5523,2.5523,2.5497,2.5497
1972-01-14,2.5497,2.572,2.5491,2.572
1972-01-21,2.5853,2.5853,2.58,2.5826
1972-01-28,2.5867,2.5913,2.5867,2.5913
1972-02-04,2.5934,2.6069,2.5934,2.6001
1972-02-11,2.6028,2.6055,2.6028,2.6055
1972-02-18,2.5954,2.6055,2.594,2.6055
1972-02-25,2.6048,2.6069,2.6048,2.6048
