Date,Open,High,Low,Close
1971-01-08,1.0109,1.0154,1.0102,1.0154
1971-01-15,1.016,1.016,1.0123,1.0135
1971-01-22,1.0126,1.0126,1.0109,1.0117
1971-01-29,1.0111,1.0111,1.008,1.008
1971-02-05,1.0076,1.0087,1.0076,1.0078
1971-02-12,1.0083,1.0086,1.0083,1.0086
1971-02-19,1.0084,1.0087,1.0066,1.0066
1971-02-26,1.0043,1.0075,1.0035,1.0071
1971-03-05,1.0076,1.0076,1.0047,1.0047
1971-03-12,1.003,1.0056,1.003,1.0056
1971-03-19,1.0059,1.0077,1.0052,1.0077
1971-03-26,1.0079,1.0079,1.0071,1.0074
1971-04-02,1.0075,1.0082,1.0073,1.0073
1971-04-09,1.0071,1.0071,1.0062,1.0069
1971-04-16,1.007,1.0081,1.0069,1.0069
1971-04-23,1.0073,1.0085,1.0073,1.0085
1971-04-30,1.0092,1.0095,1.0086,1.0091
1971-05-07,1.0089,1.009,1.007,1.007
1971-05-14,1.0084,1.0089,1.0083,1.0089
1971-05-21,1.0089,1.0095,1.0089,1.0092
1971-05-28,1.009,1.0101,1.0086,1.0101
1971-06-04,1.0126,1.0185,1.0126,1.0174
1971-06-11,1.0161,1.0239,1.0161,1.0239
1971-06-18,1.0232,1.0248,1.0225,1.0225
1971-06-25,1.0242,1.0243,1.0233,1.0233
1971-07-02,1.0221,1.0235,1.0221,1.0226
1971-07-09,1.023,1.0233,1.023,1.023
1971-07-16,1.0231,1.0231,1.0227,1.0228
1971-07-23,1.0222,1.0222,1.0151,1.0151
1971-07-30,1.0176,1.0221,1.0176,1.0189
1971-08-06,1.0193,1.0195,1.0168,1.0186
1971-08-13,1.0063,1.0143,1.0063,1.0119
1971-08-20,1.0098,1.0113,1.0068,1.0113
1971-08-27,1.0128,1.0143,1.01,1.01
1971-09-03,1.0135,1.0162,1.0135,1.0146
1971-09-10,1.0162,1.0162,1.0157,1.016
1971-09-17,1.0161,1.0161,1.0136,1.0136
1971-09-24,1.012,1.0123,1.0066,1.0066
1971-10-01,1.0098,1.0099,1.0091,1.0091
1971-10-08,1.0082,1.0082,1.0057,1.0057
1971-10-15,1.0054,1.0056,1.0045,1.0051
1971-10-22,1.0045,1.0045,1.0007,1.0007
