Date,Open,High,Low,Close
1971-01-08,357.73,357.87,357.73,357.83
1971-01-15,357.97,358.46,357.97,358.4
1971-01-22,358.27,358.42,357.91,357.91
1971-01-29,357.74,357.82,357.71,357.71
1971-02-05,357.65,357.65,357.49,357.51
1971-02-12,357.48,357.49,357.48,357.49
1971-02-19,357.52,357.58,357.51,357.58
1971-02-26,357.61,357.61,357.55,357.57
1971-03-05,357.61,357.61,357.47,357.6
1971-03-12,357.55,357.6,357.47,357.59
1971-03-19,357.55,357.57,357.5,357.55
1971-03-26,357.43,357.51,357.43,357.45
1971-04-02,357.42,357.51,357.41,357.51
1971-04-09,357.48,357.57,357.48,357.52
1971-04-16,357.52,357.6,357.49,357.56
1971-04-23,357.47,357.48,357.47,357.48
1971-04-30,357.49,357.5,357.4,357.4
1971-05-07,357.41,357.43,357.38,357.43
1971-05-14,357.13,357.52,357.13,357.49
1971-05-21,357.4,357.46,357.39,357.39
1971-05-28,357.39,357.43,357.39,357.4
1971-06-04,357.44,357.48,357.39,357.4
1971-06-11,357.39,357.41,357.39,357.39
1971-06-18,357.41,357.46,357.4,357.4
1971-06-25,357.39,357.41,357.39,357.41
1971-07-02,357.36,357.41,357.36,357.4
1971-07-09,357.45,357.47,357.4,357.4
1971-07-16,357.42,357.45,357.4,357.4
1971-07-23,357.39,357.39,357.36,357.36
1971-07-30,357.4,357.41,357.37,357.41
1971-08-06,357.39,357.39,357.36,357.38
1971-08-13,357.36,357.39,357.35,357.37
1971-08-20,357.55,358.26,357.55,358.26
1971-08-27,358.44,359.16,358.44,359.16
1971-09-03,359.34,359.34,338.98,340.15
1971-09-10,339.77,339.77,338.83,338.83
1971-09-17,338.97,338.97,337.84,337.95
1971-09-24,337.28,337.45,336.99,336.99
1971-10-01,336.25,336.36,333.38,333.38
1971-10-08,333.16,333.16,332.38,332.38
1971-10-15,330.52,331.41,330.52,330.59
1971-10-22,329.6,331.08,329.6,330.36
1971-10-29,329.01,329.71,329.01,329.51
1971-11-05,329.46,330.88,329.17,329.17
1971-11-12,329.23,329.49,329.11,329.49
1971-11-19,328.74,328.81,328.41,328.41
1971-11-26,328.42,328.42,327.6,327.6
1971-12-03,327.06,327.6,325.11,325.11
1971-12-10,326.53,326.53,323.11,323.11
1971-12-17,322.79,322.79,320.01,320.36
1971-12-24,320.52,320.52,314.96,315.21
1971-12-31,314.96,315.21,314.96,315.02
1972-01-07,314.86,314.97,312.02,312.52
1972-01-14,312.99,314.46,312.99,313
1972-01-21,313.39,313.39,312.03,312.31
1972-01-28,312.22,312.22,310.09,310.47
1972-02-04,310.57,310.57,308.56,308.65
1972-02-11,308.18,308.18,304.7,304.7
1972-02-18,304.24,304.24,303.49,303.49
1972-02-25,302.85,302.85,302.12,302.49
1972-03-03,303.95,303.95,302.66,302.66
1972-03-10,302.75,302.75,301.66,301.93
1972-03-17,302.3,302.3,302.02,302.11
1972-03-24,302.3,302.3,301.93,302.3
1972-03-31,302.57,304.32,302.57,304.32
1972-04-07,304.14,305.16,303.21,303.21
1972-04-14,302.11,302.94,302.11,302.94
1972-04-21,302.57,303.22,302.39,303.22
1972-04-28,305.18,305.18,303.76,304.86
1972-05-05,304.42,304.42,304.22,304.31
1972-05-12,305.05,305.05,303.58,303.86
1972-05-19,304.32,304.61,304.05,304.05
1972-05-26,304.42,304.42,304.22,304.4
1972-06-02,305.34,305.34,304.22,304.22
1972-06-09,304.68,304.68,304.23,304.23
1972-06-16,304.52,304.52,303.95,303.95
1972-06-23,303.85,303.85,294.12,294.12
1972-06-30,298.51,300.94,296.75,300.94
1972-07-07,300.86,300.94,300.02,300.94
1972-07-14,301.31,301.58,301.01,301.2
1972-07-21,301.03,301.19,300.74,301.09
1972-07-28,301.21,301.21,300.76,301.2
1972-08-04,301.39,301.39,300.93,300.93
1972-08-11,301.12,301.21,301.12,301.12
1972-08-18,301.12,301.22,301.12,301.21
1972-08-25,301.11,301.2,301.11,301.2
1972-09-01,301.21,301.21,301.1,301.1
1972-09-08,301.19,301.19,301.1,301.1
1972-09-15,301.18,301.18,301.1,301.12
1972-09-22,301.12,301.12,301.11,301.12
1972-09-29,301.12,301.12,301.01,301.1
1972-10-06,301.09,301.1,300.92,300.92
1972-10-13,300.93,301.12,300.93,301.12
1972-10-20,301.12,301.12,300.76,300.76
1972-10-27,301.02,301.21,300.49,300.49
1972-11-03,301.02,301.11,299.93,299.93
1972-11-10,301.02,301.02,300.93,300.93
1972-11-17,301.03,301.11,301.02,301.02
1972-11-24,301.1,301.11,301.01,301.01
1972-12-01,301.12,301.2,301.11,301.11
1972-12-08,301.12,301.12,301.11,301.11
1972-12-15,301.07,301.12,301.07,301.12
1972-12-22,301.12,301.12,301.1,301.12
1972-12-29,301.39,302.03,301.39,301.66
1973-01-05,301.39,301.43,301.2,301.3
1973-01-12,302.21,302.21,301.48,301.66
1973-01-19,301.66,302.57,301.66,302.57
1973-01-26,302.48,302.48,301.66,301.75
1973-02-02,301.66,301.66,299.58,299.58
1973-02-09,300.75,300.75,293.26,293.26
1973-02-16,266.68,266.68,263.02,263.84
1973-02-23,265.95,265.95,264.89,264.89
1973-03-02,265.61,265.97,262.13,262.13
1973-03-09,259.08,261.92,259.08,260.42
1973-03-16,257.07,260.08,254.45,260.08
1973-03-23,263.17,266.03,263.16,266.03
1973-03-30,265.53,265.96,265.39,265.96
1973-04-06,266.03,266.03,264.55,264.76
1973-04-13,265.53,266.03,265.53,265.89
1973-04-20,265.6,265.6,265.46,265.6
1973-04-27,265.6,265.6,265.46,265.6
1973-05-04,265.53,265.54,265.53,265.53
1973-05-11,265.53,265.67,265.04,265.46
1973-05-18,264.76,264.76,262.47,264.27
1973-05-25,262.95,264.83,262.95,264.83
1973-06-01,264.9,264.9,264.06,264.06
1973-06-08,262.89,264.41,262.89,264.41
1973-06-15,264.69,264.69,264.62,264.69
1973-06-22,264.69,265.04,264.69,265.04
1973-06-29,265.18,265.18,263.17,263.17
1973-07-06,265.25,265.25,262.12,262.12
1973-07-13,259.4,265.05,259.4,265.05
1973-07-20,265.11,265.6,265.11,265.6
1973-07-27,266.17,266.17,264.76,264.76
1973-08-03,263.57,265.39,263.44,265.39
1973-08-10,265.11,265.26,265.11,265.26
1973-08-17,265.47,265.53,265.39,265.53
1973-08-24,265.61,265.61,265.19,265.26
1973-08-31,265.33,265.4,265.33,265.4
1973-09-07,265.47,265.47,265.38,265.39
1973-09-14,265.38,265.6,265.38,265.59
1973-09-21,265.53,265.53,265.24,265.24
1973-09-28,265.39,265.61,265.39,265.61
1973-10-05,265.61,266.16,265.61,266.16
1973-10-12,266.32,266.32,266.25,266.25
1973-10-19,266.45,266.45,266.31,266.38
1973-10-26,266.45,266.67,266.39,266.67
1973-11-02,266.74,276.01,266.74,276.01
1973-11-09,275.18,275.33,275.18,275.33
1973-11-16,275.25,280.66,275.25,280.11
1973-11-23,280.11,280.66,280.11,280.66
1973-11-30,280.11,280.11,279.8,280.11
1973-12-07,280.11,280.11,280.11,280.11
1973-12-14,280.11,280.11,280.03,280.11
1973-12-21,280.11,280.11,280.11,280.11
1973-12-28,280.35,280.66,280.27,280.44
1974-01-04,280.28,283.7,280.28,282.1
1974-01-11,300.29,300.29,299.93,300.02
1974-01-18,300.11,300.14,300.11,300.11
1974-01-25,305.33,305.33,299.8,299.8
1974-02-01,299.86,300.04,298.78,298.85
1974-02-08,297,297.63,293.69,296.31
1974-02-15,295.53,295.53,291.54,293.16
1974-02-22,290.1,290.1,280.58,280.58
1974-03-01,283.38,292.07,283.38,292.07
1974-03-08,292.73,292.73,286.85,287.18
1974-03-15,285.71,285.71,281.68,282.5
1974-03-22,281.94,281.94,276.79,276.79
1974-03-29,275.19,276.08,274.43,276.08
1974-04-05,280.11,280.11,275.48,279.33
1974-04-12,278.01,279.25,276.79,278.56
1974-04-19,278.55,278.55,276.39,276.94
1974-04-26,277.38,279.81,275.56,279.81
1974-05-03,279.34,279.96,279.34,279.79
1974-05-10,279.39,279.56,277.62,277.62
1974-05-17,277.61,277.77,277.39,277.69
1974-05-24,278.24,279.86,278.24,279.49
1974-05-31,279.33,281.93,279.33,281.93
1974-06-07,283.68,283.68,281.85,282.65
1974-06-14,282.17,282.99,282.17,282.55
1974-06-21,282.73,283.21,282.66,283.21
1974-06-28,283.6,284.25,283.6,284.25
1974-07-05,285.33,287.36,285.33,287.36
1974-07-12,287.93,291.98,287.93,289.18
1974-07-19,288.84,290.71,288.1,290.71
1974-07-26,291.28,295.43,291.28,295.43
1974-08-02,298.25,300.14,297.51,300.14
1974-08-09,300.2,302.76,300.2,302.58
1974-08-16,302.11,302.93,301.83,302.93
1974-08-23,303.1,303.86,303.1,303.11
1974-08-30,302.87,302.93,302.12,302.92
1974-09-06,302.68,302.74,302.57,302.65
1974-09-13,302.49,302.75,299.57,299.57
1974-09-20,299.42,299.42,295.86,295.86
1974-09-27,295.85,296.75,294.8,296.75
1974-10-04,298.33,299.05,297.95,299.05
1974-10-11,300.03,300.03,298.68,299.14
1974-10-18,299.14,299.31,298.96,299.31
1974-10-25,299.66,299.93,299.66,299.84
1974-11-01,300.11,300.49,299.95,300.49
1974-11-08,300.47,300.48,299.68,299.68
1974-11-15,300.3,300.3,299.95,299.95
1974-11-22,299.68,299.94,299.68,299.86
1974-11-29,300.2,300.29,299.84,300.29
1974-12-06,300.4,300.4,299.75,299.92
1974-12-13,299.84,300.03,299.75,300.03
1974-12-20,300.29,301.12,300.29,301.12
1974-12-27,301.03,301.21,300.76,300.76
1975-01-03,300.56,301.01,300.56,300.83
1975-01-10,301.01,301.01,300.77,300.84
1975-01-17,300.93,301.03,300.76,300.83
1975-01-24,301.01,301.01,295.33,295.33
1975-01-31,295,297.97,295,297.97
1975-02-07,297.44,297.44,295.6,295.6
1975-02-14,292.4,293.27,291.64,293.27
1975-02-21,293.34,293.34,289.52,289.52
1975-02-28,285.88,286.45,285.63,286.45
1975-03-07,285.39,285.96,284.66,285.96
1975-03-14,286.21,288.85,286.12,288.1
1975-03-21,286.53,288.18,286.53,287.44
1975-03-28,287.77,292.49,287.77,292.49
1975-04-04,294.03,294.03,290.87,292.24
1975-04-11,291.98,291.98,291.11,291.11
1975-04-18,291.29,291.79,290.95,291.79
1975-04-25,292.84,293.68,292.73,293.68
1975-05-02,294.56,294.56,290.37,290.37
1975-05-09,290.45,291.45,290.45,291.45
1975-05-16,291.28,291.8,291.28,291.55
1975-05-23,291.81,292.24,291.03,291.03
1975-05-30,291.27,291.55,290.71,291.55
1975-06-06,291.46,292.21,291.05,291.81
1975-06-13,291.81,292.65,291.81,292.65
1975-06-20,294.11,294.12,293.41,293.93
1975-06-27,294.72,297,294.72,296.02
1975-07-04,295.68,295.68,295.42,295.42
1975-07-11,295.49,296.13,295.49,296.12
1975-07-18,295.87,296.31,295.86,296.22
1975-07-25,296.13,297.63,296.13,296.66
1975-08-01,297.81,297.89,297.35,297.89
1975-08-08,297.96,298.07,297.63,297.63
1975-08-15,297.79,298.06,297.79,297.96
1975-08-22,298.16,298.16,297.9,297.96
1975-08-29,298.07,298.16,297.96,297.98
1975-09-05,297.96,297.97,297.8,297.97
1975-09-12,297.99,298.06,297.99,298.06
1975-09-19,298.06,301.57,298.06,301.57
1975-09-26,302.93,303.3,301.75,301.75
1975-10-03,303.22,303.22,302.57,303.03
1975-10-10,303.14,303.14,302.94,302.95
1975-10-17,302.66,302.94,302.66,302.77
1975-10-24,302.48,302.48,301.11,301.66
1975-10-31,301.56,301.75,301.48,301.75
