EURUSD_date,DEbond_date,USbond_date,EUR_open,EUR_close,EUR_delta,USbond_open,USbond_close,USbond_delta,DEbond_open,DEbond_close,DEbond_delta
12/9/2005,12/2/2005,12/2/2005,1.1697,1.1812,-0.0115,4.439,4.519,-0.08,3.427,3.397,0.03
12/16/2005,12/9/2005,12/9/2005,1.1783,1.2012,-0.0229,4.553,4.53,0.023,3.393,3.445,-0.052
12/23/2005,12/16/2005,12/16/2005,1.2027,1.1872,0.0155,4.52,4.44,0.08,3.45,3.345,0.105
12/30/2005,12/23/2005,12/23/2005,1.1858,1.1846,0.0012,4.45,4.38,0.07,3.351,3.326,0.025
1/6/2006,12/30/2005,12/30/2005,1.1836,1.215,-0.0314,4.38,4.39,-0.01,3.331,3.309,0.022
1/13/2006,1/6/2006,1/6/2006,1.2138,1.2143,-0.0005,4.42,4.37,0.05,3.297,3.262,0.035
1/20/2006,1/13/2006,1/13/2006,1.2152,1.2132,0.002,4.36,4.35,0.01,3.263,3.264,-0.001
1/27/2006,1/20/2006,1/20/2006,1.214,1.2091,0.0049,4.34,4.36,-0.02,3.266,3.375,-0.109
2/3/2006,1/27/2006,1/27/2006,1.2103,1.2024,0.0079,4.38,4.5,-0.12,3.37,3.48,-0.11
2/10/2006,2/3/2006,2/3/2006,1.2029,1.1904,0.0125,4.54,4.53,0.01,3.487,3.489,-0.002
2/17/2006,2/10/2006,2/10/2006,1.1894,1.1939,-0.0045,4.53,4.58,-0.05,3.487,3.476,0.011
2/24/2006,2/17/2006,2/17/2006,1.1923,1.1876,0.0047,4.59,4.54,0.05,3.458,3.447,0.011
3/3/2006,2/24/2006,2/24/2006,1.1862,1.2043,-0.0181,4.53,4.56,-0.03,3.458,3.49,-0.032
3/10/2006,3/3/2006,3/3/2006,1.2051,1.1905,0.0146,4.56,4.68,-0.12,3.49,3.591,-0.101
3/17/2006,3/10/2006,3/10/2006,1.1914,1.2189,-0.0275,4.71,4.75,-0.04,3.593,3.687,-0.094
3/24/2006,3/17/2006,3/17/2006,1.2179,1.2031,0.0148,4.78,4.67,0.11,3.689,3.691,-0.002
3/31/2006,3/24/2006,3/24/2006,1.2038,1.2117,-0.0079,4.67,4.67,0,3.691,3.634,0.057
4/7/2006,3/31/2006,3/31/2006,1.2116,1.2091,0.0025,4.67,4.85,-0.18,3.643,3.771,-0.128
4/14/2006,4/7/2006,4/7/2006,1.2104,1.2109,-0.0005,4.88,4.96,-0.08,3.765,3.896,-0.131
4/21/2006,4/14/2006,4/14/2006,1.212,1.234,-0.022,4.96,5.03,-0.07,3.887,3.957,-0.07
4/28/2006,4/21/2006,4/21/2006,1.2371,1.2632,-0.0261,5.03,5.01,0.02,3.952,3.952,0
5/5/2006,4/28/2006,4/28/2006,1.2625,1.2726,-0.0101,5,5.06,-0.06,3.947,3.951,-0.004
5/12/2006,5/5/2006,5/5/2006,1.2742,1.2926,-0.0184,5.05,5.1,-0.05,3.949,4.002,-0.053
5/19/2006,5/12/2006,5/12/2006,1.2946,1.2775,0.0171,5.1,5.18,-0.08,4.003,4.081,-0.078
5/26/2006,5/19/2006,5/19/2006,1.2761,1.2737,0.0024,5.17,5.05,0.12,4.092,3.99,0.102
6/2/2006,5/26/2006,5/26/2006,1.2732,1.2914,-0.0182,5.01,5.05,-0.04,3.981,3.884,0.097
6/9/2006,6/2/2006,6/2/2006,1.2926,1.2638,0.0288,5.05,4.99,0.06,3.888,3.929,-0.041
6/16/2006,6/9/2006,6/9/2006,1.2614,1.2641,-0.0027,4.99,4.98,0.01,3.936,3.934,0.002
6/23/2006,6/16/2006,6/16/2006,1.2646,1.2504,0.0142,4.99,5.12,-0.13,3.936,3.939,-0.003
6/30/2006,6/23/2006,6/23/2006,1.2506,1.279,-0.0284,5.14,5.22,-0.08,3.935,4.081,-0.146
7/7/2006,6/30/2006,6/30/2006,1.2786,1.2807,-0.0021,5.22,5.13,0.09,4.083,4.071,0.012
7/14/2006,7/7/2006,7/7/2006,1.2813,1.265,0.0163,5.15,5.13,0.02,4.074,4.065,0.009
7/21/2006,7/14/2006,7/14/2006,1.2635,1.2694,-0.0059,5.14,5.05,0.09,4.062,3.983,0.079
7/28/2006,7/21/2006,7/21/2006,1.2703,1.2756,-0.0053,5.065,5.045,0.02,3.984,3.956,0.028
8/4/2006,7/28/2006,7/28/2006,1.2765,1.2872,-0.0107,5.059,4.99,0.069,3.949,3.92,0.029
8/11/2006,8/4/2006,8/4/2006,1.2883,1.2721,0.0162,5.002,4.901,0.101,3.922,3.906,0.016
8/18/2006,8/11/2006,8/11/2006,1.2712,1.2823,-0.0111,4.911,4.967,-0.056,3.908,3.981,-0.073
8/25/2006,8/18/2006,8/18/2006,1.2826,1.2752,0.0074,4.993,4.835,0.158,3.978,3.902,0.076
9/1/2006,8/25/2006,8/25/2006,1.2759,1.2839,-0.008,4.831,4.791,0.04,3.903,3.793,0.11
9/8/2006,9/1/2006,9/1/2006,1.2829,1.2672,0.0157,4.801,4.726,0.075,3.79,3.745,0.045
9/15/2006,9/8/2006,9/8/2006,1.2667,1.2662,0.0005,4.753,4.771,-0.018,3.737,3.787,-0.05
9/22/2006,9/15/2006,9/15/2006,1.2633,1.2783,-0.015,4.775,4.798,-0.023,3.787,3.776,0.011
9/29/2006,9/22/2006,9/22/2006,1.279,1.2676,0.0114,4.802,4.597,0.205,3.772,3.694,0.078
10/6/2006,9/29/2006,9/29/2006,1.2681,1.2598,0.0083,4.583,4.633,-0.05,3.691,3.709,-0.018
10/13/2006,10/6/2006,10/6/2006,1.259,1.2513,0.0077,4.653,4.696,-0.043,3.707,3.752,-0.045
10/20/2006,10/13/2006,10/13/2006,1.2502,1.2615,-0.0113,4.722,4.806,-0.084,3.746,3.832,-0.086
10/27/2006,10/20/2006,10/20/2006,1.2617,1.2739,-0.0122,4.794,4.784,0.01,3.83,3.839,-0.009
11/3/2006,10/27/2006,10/27/2006,1.2729,1.2717,0.0012,4.816,4.675,0.141,3.838,3.809,0.029
11/10/2006,11/3/2006,11/3/2006,1.2715,1.2839,-0.0124,4.66,4.715,-0.055,3.806,3.773,0.033
11/17/2006,11/10/2006,11/10/2006,1.2849,1.2824,0.0025,4.727,4.586,0.141,3.774,3.714,0.06
11/24/2006,11/17/2006,11/17/2006,1.2824,1.3095,-0.0271,4.586,4.607,-0.021,3.713,3.73,-0.017
12/1/2006,11/24/2006,11/24/2006,1.3155,1.3338,-0.0183,4.591,4.548,0.043,3.722,3.699,0.023
12/8/2006,12/1/2006,12/1/2006,1.3359,1.32,0.0159,4.568,4.425,0.143,3.708,3.664,0.044
