Date,uk_b_w_delta,de_b_w_delta,ca_b_w_delta,jpy_b_w_delta,au_b_w_delta,us_b_w_delta,cn_b_w_delta,usdcad_w_delta,gbpusd_w_delta,eurusd_w_delta,usdjpy_w_delta,audusd_w_delta,gbpjpy_w_delta,audnzd_w_delta
4/14/2006,0.0020,-0.1310,-0.1430,-0.1040,-0.1220,-0.0800,-0.0490,0.0188,-0.0084,-0.0005,-0.5000,-0.0016,-0.1500,0.0148
4/21/2006,-0.1250,-0.0700,-0.0310,-0.0780,-0.0850,-0.0700,0.0010,-0.0036,-0.0293,-0.0220,1.9800,-0.0167,1.0800,0.0002
4/28/2006,-0.0140,0.0000,-0.0220,0.0720,-0.0250,0.0200,-0.0800,0.0137,-0.0392,-0.0261,1.8800,-0.0122,-2.2700,0.0067
5/12/2006,-0.0860,-0.0040,-0.0110,-0.0250,-0.0450,-0.0600,-0.0570,0.0188,-0.0319,-0.0184,1.9000,-0.0013,0.0200,-0.0119
5/19/2006,-0.0600,-0.0780,0.0010,-0.0540,-0.0330,-0.0800,-0.0110,-0.0043,0.0169,0.0171,-2.0600,0.0162,-0.0300,-0.0001
5/26/2006,0.1430,0.1020,0.1080,0.0800,0.0850,0.1200,-0.0120,-0.0087,0.0167,0.0024,-0.8700,-0.0017,0.1000,0.0052
6/2/2006,0.0390,0.0970,0.0110,0.0540,0.0180,-0.0400,0.0120,0.0140,-0.0235,-0.0182,0.9200,0.0057,-0.0300,0.0129
6/9/2006,-0.0340,-0.0410,-0.0070,-0.0550,-0.0130,0.0600,0.0050,0.0032,0.0430,0.0288,-2.2800,0.0030,0.5500,0.0149
6/16/2006,0.0040,0.0020,-0.0420,0.0690,0.0820,0.0100,-0.0040,-0.0045,-0.0107,-0.0027,-1.0900,0.0107,-0.7300,-0.0133
6/23/2006,-0.0430,-0.0030,-0.0130,0.0310,-0.0670,-0.1300,-0.0350,-0.0165,0.0343,0.0142,-1.3400,0.0059,0.5000,-0.0089
6/30/2006,-0.1250,-0.1460,-0.2220,-0.0650,-0.0700,-0.0800,0.0060,-0.0008,-0.0295,-0.0284,2.0400,-0.0123,-1.3000,-0.0076
7/7/2006,0.0270,0.0120,0.0310,-0.0550,0.0550,0.0900,-0.0160,0.0048,-0.0030,-0.0021,0.3000,-0.0084,0.6300,0.0052
7/14/2006,0.0600,0.0090,0.0810,-0.0130,-0.0670,0.0200,-0.0160,0.0034,0.0117,0.0163,-2.2500,-0.0020,-0.7200,0.0180
7/21/2006,0.0640,0.0790,0.0590,0.1220,0.0120,0.0900,-0.0180,-0.0138,-0.0209,-0.0059,0.2100,0.0010,0.4700,0.0009
7/28/2006,-0.0330,0.0280,0.0670,0.0280,0.0570,0.0200,0.0150,-0.0100,-0.0041,-0.0053,1.5000,-0.0151,1.4900,-0.0285
8/4/2006,0.0330,0.0290,0.0480,-0.1110,-0.1160,0.0690,-0.0650,0.0066,-0.0452,-0.0107,0.2400,0.0013,-1.3300,0.0268
8/11/2006,-0.1060,0.0160,0.0080,0.0550,0.0800,0.1010,0.0050,0.0027,0.0174,0.0162,-2.0900,0.0005,-1.5500,0.0138
8/18/2006,-0.0400,-0.0730,-0.0270,0.0180,-0.0340,-0.0560,0.0240,0.0014,0.0085,-0.0111,0.5600,0.0066,0.9300,0.0315
8/25/2006,0.1680,0.0760,0.1440,-0.0140,0.0860,0.1580,0.0180,0.0002,-0.0056,0.0074,-1.5300,0.0019,-1.4600,-0.0034
9/1/2006,0.0390,0.1100,0.0320,0.1490,0.1110,0.0400,0.0220,0.0165,-0.0181,-0.0080,0.1600,-0.0093,0.2700,0.0227
9/8/2006,0.0530,0.0450,0.1030,0.0380,0.0170,0.0750,0.0060,0.0049,0.0403,0.0157,0.2300,0.0131,0.3300,-0.0105
9/15/2006,-0.0440,-0.0500,-0.0140,-0.0790,-0.0290,-0.0180,0.0080,-0.0170,-0.0155,0.0005,-0.6000,0.0003,0.5300,0.0426
9/22/2006,-0.0320,0.0110,-0.0060,0.0650,-0.0310,-0.0230,0.0080,0.0020,-0.0220,-0.0150,0.9400,0.0017,-0.0100,-0.0103
9/29/2006,0.1160,0.0780,0.1300,0.0350,0.1490,0.2050,0.0270,0.0020,0.0280,0.0114,-1.7000,0.0048,-0.3900,-0.0185
10/13/2006,-0.0190,-0.0180,-0.0120,-0.0450,-0.0130,-0.0500,0.0770,-0.0001,0.0132,0.0077,-0.6400,-0.0083,-0.1200,-0.0117
10/20/2006,-0.0760,-0.0860,-0.0900,-0.0650,-0.1310,-0.0840,0.0360,-0.0113,-0.0282,-0.0113,1.0600,-0.0079,-1.5800,0.0054
10/27/2006,-0.0230,-0.0090,-0.0150,-0.0350,-0.0210,0.0100,0.0420,0.0119,-0.0159,-0.0122,1.1200,-0.0096,0.4600,-0.0086
11/3/2006,0.1000,0.0290,0.1340,0.0640,0.0620,0.1410,0.0660,0.0057,-0.0048,0.0012,-0.4500,-0.0011,-0.7100,-0.0029
11/10/2006,0.0000,0.0330,-0.0450,0.0240,0.0620,-0.0550,-0.0090,-0.0102,-0.0091,-0.0124,0.4800,0.0025,0.0300,-0.0048
11/17/2006,0.0780,0.0600,0.1100,0.0640,0.0050,0.1410,0.0060,-0.0029,0.0170,0.0025,-0.2400,-0.0019,0.1700,0.0088
11/24/2006,-0.0440,-0.0170,-0.0060,-0.0280,-0.0070,-0.0210,-0.0010,-0.0154,-0.0376,-0.0271,1.9800,-0.0093,-1.0800,-0.0082
12/1/2006,0.0220,0.0230,0.0290,0.0560,0.0000,0.0430,-0.0650,0.0117,-0.0416,-0.0183,-0.0400,-0.0082,-1.1900,0.0204
12/8/2006,0.0750,0.0440,0.1070,0.0630,0.0020,0.1430,0.0210,-0.0126,0.0285,0.0159,-1.1500,0.0051,-1.1900,-0.0069
12/15/2006,-0.0850,-0.0650,-0.0670,-0.1000,-0.0790,-0.1060,-0.0190,-0.0061,0.0010,0.0101,-1.7900,0.0043,0.3300,0.0054
12/22/2006,-0.1180,-0.0530,-0.0760,0.0300,-0.1600,-0.0470,0.0110,-0.0087,-0.0053,-0.0050,-0.8400,-0.0026,-0.6100,0.0105
12/29/2006,-0.0310,-0.0840,-0.0010,0.0710,-0.0450,-0.0270,0.0030,-0.0003,0.0011,-0.0056,-0.3100,-0.0037,0.2100,-0.0013
