Date,jp_w_i_delta,uk_w_i_delta,au_w_i_delta,de_w_i_delta,ca_w_i_delta,nz_w_i_delta,usdjpy_w_delta,usdcad_w_delta,nzdusd_w_delta,gbpusd_w_delta,eurusd_w_delta,audusd_w_delta
21-May-17,0.003,0.082,0.074,0.043,0.028,0.035,0.95,-0.005,-0.008,-0.0083,-0.0097,0.0005
14-May-17,0.005,-0.007,0.15,0.018,0.101,0.135,-0.06,0.007,-0.014,0.0231,0.0024,0.0014
7-May-17,-0.023,0.029,0.024,0.021,-0.029,0.075,2.06,0.02,-0.006,-0.0144,-0.0276,-0.0075
30-Apr-17,-0.005,-0.03,-0.075,-0.091,0.007,0.01,-0.62,-0.006,0.005,0.009,0.0067,0.0035
23-Apr-17,0,-0.052,-0.032,-0.071,-0.083,-0.08,-1.17,0,-0.005,-0.003,-0.0101,0.0068
16-Apr-17,-0.001,0.009,-0.086,-0.064,0.027,-0.035,-2.47,-0.015,0.017,-0.0138,-0.0169,0.0054
9-Apr-17,0.035,0.032,0.083,0.039,0.1,0.12,-0.44,-0.017,-0.003,-0.0289,-0.0116,0.0034
2-Apr-17,0.021,0.064,0.168,0.103,0.03,0.13,2.43,0.008,-0.006,-0.0151,-0.0022,-0.0077
26-Mar-17,-0.007,0.059,0.057,0.075,0.017,0.02,0.32,-0.009,0.007,0.0177,0.0062,0.0129
19-Mar-17,0.012,0.046,0.094,0.03,0.119,0.065,-0.05,0.007,0.002,-0.008,0.0147,-0.0006
12-Mar-17,0.014,-0.012,0.114,0.048,0.049,0.125,1.38,-0.003,-0.001,-0.0076,-0.0061,0.0079
5-Mar-17,-0.014,-0.048,-0.159,-0.129,-0.109,-0.09,2.03,0.012,-0.009,-0.0223,-0.0066,-0.016
26-Feb-17,-0.015,-0.106,-0.086,-0.173,-0.097,-0.075,-0.73,-0.009,0.012,0.0124,-0.0049,0.0053
19-Feb-17,0.031,0.134,0.084,0.12,0.108,0.105,-1.83,-0.029,0.016,0.0173,-0.006,0.0079
12-Feb-17,-0.005,0.044,-0.116,0.012,-0.018,-0.135,0.69,0.001,-0.001,-0.0054,0.0051,-0.0003
5-Feb-17,0.011,0.101,0.091,0.098,0.069,0.18,0.34,-0.002,0,0.0077,0.0027,0.0005
29-Jan-17,-0.018,0.111,-0.001,0.051,0.015,0.035,-0.52,-0.006,0.012,-0.0003,0.0143,0.0007
22-Jan-17,-0.014,-0.036,-0.014,-0.04,-0.027,-0.17,2.38,0.013,-0.005,0.0067,-0.0085,-0.0132
15-Jan-17,-0.016,-0.068,-0.069,-0.083,-0.035,-0.125,-0.46,0.017,-0.01,-0.018,0.0004,0.0005
8-Jan-17,0.006,0.017,-0.007,-0.041,0.013,0.055,-0.09,-0.021,-0.004,-0.0196,-0.0059,-0.0054
1-Jan-17,-0.007,-0.142,0.066,-0.091,-0.014,0.2,2.39,0.012,-0.017,0.0108,-0.0111,-0.0204
25-Dec-16,0.006,0.104,0.11,0.014,0.083,0.095,-0.03,0.02,-0.001,0.0051,-0.0017,-0.0082
18-Dec-16,0.025,0.093,0.013,0.093,0.034,-0.065,0.46,0.01,-0.007,-0.0046,-0.006,-0.0033
11-Dec-16,-0.024,0.024,-0.046,0.051,-0.103,-0.135,0.64,-0.02,0.009,0.0205,-0.0005,0.0123
4-Dec-16,-0.016,-0.081,0.022,-0.086,-0.109,-0.015,-2.59,-0.016,0.016,0.0079,0.0111,0.0147
27-Nov-16,-0.003,0.04,-0.081,-0.039,-0.059,-0.07,-1.82,0.011,0,0.0153,0.0111,0.0009
20-Nov-16,0.003,0.038,-0.068,0.031,0.019,-0.1,-0.5,0.024,-0.009,-0.0253,-0.0086,-0.0018
13-Nov-16,-0.072,-0.093,-0.125,0.037,-0.147,-0.045,-2.13,-0.003,-0.003,-0.013,0.0001,-0.0105
6-Nov-16,-0.028,-0.235,-0.238,-0.174,-0.272,-0.28,-4.27,0.004,0.01,0.0256,0.0268,0.0213
30-Oct-16,0.016,0.13,0.023,0.033,0.068,-0.055,-3.54,-0.014,0.021,-0.0083,0.0282,0.0121
23-Oct-16,-0.015,-0.172,-0.084,-0.164,-0.097,-0.115,1.56,-0.001,-0.016,-0.0334,-0.0151,-0.0073
16-Oct-16,0.005,0.009,-0.024,0.055,0.118,-0.105,-0.87,-0.007,0,0.005,-0.0103,0.0007
9-Oct-16,-0.008,-0.118,-0.092,-0.038,-0.079,0.005,0.36,-0.019,-0.008,-0.0048,0.0087,0.0014
