Date,Date1,uk_b_w_delta,de_b_w_delta,ca_b_w_delta,jpy_b_w_delta,us_b_w_delta,cn_b_w_delta,usdcad_w_delta,gbpusd_w_delta,eurusd_w_delta,usdjpy_w_delta,audusd_w_delta
4/7/2006,4/7/2006,0.002,-0.131,-0.143,-0.104,-0.08,-0.049,-0.0036,-0.0084,-0.0005,-0.5,-0.0016
4/14/2006,4/14/2006,-0.125,-0.07,-0.031,-0.078,-0.07,0.001,0.0137,-0.0293,-0.022,1.98,-0.0167
4/21/2006,4/21/2006,-0.014,0,-0.022,0.072,0.02,-0.08,0.0188,-0.0392,-0.0261,1.88,-0.0122
4/28/2006,4/28/2006,-0.086,-0.004,-0.011,-0.025,-0.06,-0.057,-0.0043,-0.0319,-0.0184,1.9,-0.0013
5/12/2006,5/12/2006,-0.06,-0.078,0.001,-0.054,-0.08,-0.011,-0.0087,0.0169,0.0171,-2.06,0.0162
5/19/2006,5/19/2006,0.143,0.102,0.108,0.08,0.12,-0.012,0.014,0.0167,0.0024,-0.87,-0.0017
5/26/2006,5/26/2006,0.039,0.097,0.011,0.054,-0.04,0.012,0.0032,-0.0235,-0.0182,0.92,0.0057
6/2/2006,6/2/2006,-0.034,-0.041,-0.007,-0.055,0.06,0.005,-0.0045,0.043,0.0288,-2.28,0.003
6/9/2006,6/9/2006,0.004,0.002,-0.042,0.069,0.01,-0.004,-0.0165,-0.0107,-0.0027,-1.09,0.0107
6/16/2006,6/16/2006,-0.043,-0.003,-0.013,0.031,-0.13,-0.035,-0.0008,0.0343,0.0142,-1.34,0.0059
6/23/2006,6/23/2006,-0.125,-0.146,-0.222,-0.065,-0.08,0.006,0.0048,-0.0295,-0.0284,2.04,-0.0123
6/30/2006,6/30/2006,0.027,0.012,0.031,-0.055,0.09,-0.016,0.0034,-0.003,-0.0021,0.3,-0.0084
7/7/2006,7/7/2006,0.06,0.009,0.081,-0.013,0.02,-0.016,-0.0138,0.0117,0.0163,-2.25,-0.002
7/14/2006,7/14/2006,0.064,0.079,0.059,0.122,0.09,-0.018,-0.01,-0.0209,-0.0059,0.21,0.001
7/21/2006,7/21/2006,-0.033,0.028,0.067,0.028,0.02,0.015,0.0066,-0.0041,-0.0053,1.5,-0.0151
7/28/2006,7/28/2006,0.033,0.029,0.048,-0.111,0.069,-0.065,0.0027,-0.0452,-0.0107,0.24,0.0013
8/4/2006,8/4/2006,-0.106,0.016,0.008,0.055,0.101,0.005,0.0014,0.0174,0.0162,-2.09,0.0005
8/11/2006,8/11/2006,-0.04,-0.073,-0.027,0.018,-0.056,0.024,0.0002,0.0085,-0.0111,0.56,0.0066
8/18/2006,8/18/2006,0.168,0.076,0.144,-0.014,0.158,0.018,0.0165,-0.0056,0.0074,-1.53,0.0019
8/25/2006,8/25/2006,0.039,0.11,0.032,0.149,0.04,0.022,0.0049,-0.0181,-0.008,0.16,-0.0093
9/1/2006,9/1/2006,0.053,0.045,0.103,0.038,0.075,0.006,-0.017,0.0403,0.0157,0.23,0.0131
9/8/2006,9/8/2006,-0.044,-0.05,-0.014,-0.079,-0.018,0.008,0.002,-0.0155,0.0005,-0.6,0.0003
9/15/2006,9/15/2006,-0.032,0.011,-0.006,0.065,-0.023,0.008,0.002,-0.022,-0.015,0.94,0.0017
9/22/2006,9/22/2006,0.116,0.078,0.13,0.035,0.205,0.027,-1E-04,0.028,0.0114,-1.7,0.0048
9/29/2006,9/29/2006,-0.019,-0.018,-0.012,-0.045,-0.05,0.077,-0.0113,0.0132,0.0077,-0.64,-0.0083
10/13/2006,10/13/2006,-0.076,-0.086,-0.09,-0.065,-0.084,0.036,0.0119,-0.0282,-0.0113,1.06,-0.0079
10/20/2006,10/20/2006,-0.023,-0.009,-0.015,-0.035,0.01,0.042,0.0057,-0.0159,-0.0122,1.12,-0.0096
10/27/2006,10/27/2006,0.1,0.029,0.134,0.064,0.141,0.066,-0.0102,-0.0048,0.0012,-0.45,-0.0011
11/3/2006,11/3/2006,0,0.033,-0.045,0.024,-0.055,-0.009,-0.0029,-0.0091,-0.0124,0.48,0.0025
11/10/2006,11/10/2006,0.078,0.06,0.11,0.064,0.141,0.006,-0.0154,0.017,0.0025,-0.24,-0.0019
11/17/2006,11/17/2006,-0.044,-0.017,-0.006,-0.028,-0.021,-0.001,0.0117,-0.0376,-0.0271,1.98,-0.0093
11/24/2006,11/24/2006,0.022,0.023,0.029,0.056,0.043,-0.065,-0.0126,-0.0416,-0.0183,-0.04,-0.0082
12/1/2006,12/1/2006,0.075,0.044,0.107,0.063,0.143,0.021,-0.0061,0.0285,0.0159,-1.15,0.0051
12/8/2006,12/8/2006,-0.085,-0.065,-0.067,-0.1,-0.106,-0.019,-0.0087,0.001,0.0101,-1.79,0.0043
12/15/2006,12/15/2006,-0.118,-0.053,-0.076,0.03,-0.047,0.011,-0.0003,-0.0053,-0.005,-0.84,-0.0026
